UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação,Tipo
11,1805788,1,0.05595097351896373,0.05595097351896373,0.05595097351896373,Rondônia,Estado
11,1805788,2,0.0,0.0,0.0,Rondônia,Estado
11,1805788,3,0.3393273626798718,0.3393273626798718,0.3393273626798718,Rondônia,Estado
11,1805788,4,0.05566355495188965,0.056251957423070036,0.05684657971740743,Rondônia,Estado
11,1805788,5,0.10984296839989056,0.11661481135908096,0.1238041399136805,Rondônia,Estado
11,1805788,6,0.0,0.0,0.0,Rondônia,Estado
11,1805788,7,0.2262182417865812,0.2262182417865812,0.2262182417865812,Rondônia,Estado
11,1805788,8,0.044145246549283236,0.08292170673993284,0.1557587732800886,Rondônia,Estado
11,1805788,9,0.0414387496622021,0.07999855700353573,0.1544392428540244,Rondônia,Estado
11,1805788,10,0.03241400201011285,0.10099138909449423,0.3146560140291674,Rondônia,Estado
11,1805788,11,0.017663786615196447,0.1944686400622188,2.140993479569852,Rondônia,Estado
11,1805788,12,0.12147773530621263,0.3185232459198523,0.8351905634030206,Rondônia,Estado
11,1805788,13,0.06597584505808109,0.14067634048068772,0.29995573006479304,Rondônia,Estado
11,1805788,14,0.22654049959135678,0.5514424162064734,1.3423151221974057,Rondônia,Estado
11,1805788,15,0.4050081054984724,0.9395739260661751,2.179707394885053,Rondônia,Estado
11,1805788,16,0.05731120031801598,0.24467068422327043,1.0445382994266992,Rondônia,Estado
11,1805788,17,0.05451950836513013,0.19060701162303995,0.6663859225682688,Rondônia,Estado
11,1805788,18,0.10439870601738445,0.2201703712674639,0.46432560549151686,Rondônia,Estado
11,1805788,19,0.1050925239709531,0.2042562868397164,0.396989520634977,Rondônia,Estado
11,1805788,20,0.08024461380847361,0.16900935830285174,0.3559636197155632,Rondônia,Estado
11,1805788,21,0.05322107639417426,0.10689090362410025,0.21468309270850028,Rondônia,Estado
11,1805788,22,0.15102489100241556,0.19595564481761613,0.2542535503983483,Rondônia,Estado
11,1805788,23,0.09096817202917891,0.2055643155651026,0.46452167710036923,Rondônia,Estado
11,1805788,24,0.33219259058962824,0.33940513285403207,0.3467742733310073,Rondônia,Estado
11,1805788,25,0.11384677386967287,0.4525401771387094,1.7988442268831675,Rondônia,Estado
11,1805788,26,0.17672651951940901,0.29932719174353567,0.5069797558437822,Rondônia,Estado
11,1805788,27,0.05416795113873238,0.11545197531947363,0.24607093908777056,Rondônia,Estado
11,1805788,28,0.056251665207353176,0.05687182272174237,0.05749881728426579,Rondônia,Estado
11,1805788,29,0.1143817295775711,0.1143817295775711,0.1143817295775711,Rondônia,Estado
11,1805788,30,0.11190194703792747,0.11190194703792747,0.11190194703792747,Rondônia,Estado
11,1805788,31,0.05595097351896373,0.05595097351896373,0.05595097351896373,Rondônia,Estado
11,1805788,32,0.04941441562654559,0.06829720577727173,0.0943956992679118,Rondônia,Estado
11,1805788,33,0.02405502165538606,0.13778859271928615,0.7892612426441239,Rondônia,Estado
11,1805788,34,0.03285196327783103,0.09743124828195857,0.2889583207401965,Rondônia,Estado
11,1805788,35,0.05595097351896373,0.05595097351896373,0.05595097351896373,Rondônia,Estado
11,1805788,36,0.05655456044664529,0.05655456044664529,0.05655456044664529,Rondônia,Estado
11,1805788,37,0.05595097351896373,0.05595097351896373,0.05595097351896373,Rondônia,Estado
11,1805788,38,0.05595097351896373,0.05595097351896373,0.05595097351896373,Rondônia,Estado
11,1805788,39,0.1143817295775711,0.1143817295775711,0.1143817295775711,Rondônia,Estado
11,1805788,40,0.05655456044664529,0.05655456044664529,0.05655456044664529,Rondônia,Estado
11,1805788,41,0.05655456044664529,0.05655456044664529,0.05655456044664529,Rondônia,Estado
11,1805788,42,0.05655456044664529,0.05655456044664529,0.05655456044664529,Rondônia,Estado
11,1805788,43,0.1143817295775711,0.1143817295775711,0.1143817295775711,Rondônia,Estado
11,1805788,44,0.0,0.0,0.0,Rondônia,Estado
11,1805788,45,0.0,0.0,0.0,Rondônia,Estado
11,1805788,46,0.0,0.0,0.0,Rondônia,Estado
11,1805788,47,0.05719086478878557,0.05719086478878557,0.05719086478878557,Rondônia,Estado
11,1805788,48,0.0,0.0,0.0,Rondônia,Estado
11,1805788,49,0.05655456044664529,0.05655456044664529,0.05655456044664529,Rondônia,Estado
11,1805788,50,0.1143817295775711,0.1143817295775711,0.1143817295775711,Rondônia,Estado
11,1805788,51,0.0,0.0,0.0,Rondônia,Estado
11,1805788,52,0.0,0.0,0.0,Rondônia,Estado
12,829619,1,0.1183522615025183,0.1992346663685651,0.335392427479291,Acre,Estado
12,829619,2,0.24956755837687877,0.30012627746461634,0.3609274499081406,Acre,Estado
12,829619,3,0.16376182135322587,0.26483703792745666,0.42829675487611746,Acre,Estado
12,829619,4,0.15212085644397327,0.22838654915609424,0.34288799744326937,Acre,Estado
12,829619,5,0.12236684618187679,0.25509013201172104,0.5317696539554572,Acre,Estado
12,829619,6,0.12358319745861066,0.25509013201172104,0.5265357814645493,Acre,Estado
12,829619,7,0.16842503702426606,0.2901803734823765,0.49995327679363727,Acre,Estado
12,829619,8,0.13176653203848068,0.23433568214450834,0.4167462790179175,Acre,Estado
12,829619,9,0.13352436192160885,0.36283826215182374,0.9859744138575043,Acre,Estado
12,829619,10,0.18554594139141378,0.298652065868023,0.4807060492855675,Acre,Estado
12,829619,11,0.26465778868122747,0.39053550560141626,0.5762837432268327,Acre,Estado
12,829619,12,0.1543805479457593,0.23769367570745248,0.36596763143482247,Acre,Estado
