UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
23,1,0.0,0.011837044148031706,0.0,0.0,0.0,0.0,0.0,0.0,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.0,0.011837044148031705,0.011837044148031705,8904459,0.011258782433603284,0.011439182550437358,0.011622473228692764,,0.011619793388453759,0.011391369169669431,0.01130864678357772,,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,2,0.0,0.05918522074015853,0.0,0.0,0.011391369169669431,0.0678518807014663,0.011230328535400073,0.011230328535400073,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.010082591923448576,0.026772312606993524,0.0710885383211493,8904459,0.0,0.01130864678357772,0.01130864678357772,,0.0,0.0,0.01130864678357772,,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,3,0.0,0.023674088296063413,0.0,0.03485938016536128,0.0,0.02261729356715544,0.0,0.011230328535400073,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.02027079510969759,0.026526371826116262,0.03471242240126771,8904459,0.0,0.011391369169669435,0.011391369169669435,,0.0,0.011391369169669431,0.0,0.0,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,4,0.0,0.05918522074015853,0.0,0.011619793388453759,0.011391369169669431,0.01130864678357772,0.0,0.0,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.007709939440572649,0.017252401674245882,0.03860540874850435,8904459,0.010905989250776127,0.020551495295342944,0.03872770724072056,,0.0,0.022782738339338863,0.03392594035073315,0.011230328535400073,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,5,0.0,0.08285930903622195,0.0,0.0,0.034174107509008296,0.01130864678357772,0.0,0.022460657070800145,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.010267116439553981,0.031755311412832506,0.09821645725581901,8904459,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,6,0.0,0.023674088296063413,0.02344623280585171,0.0,0.011391369169669431,0.0,0.03369098560620022,0.0,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.013750329560217583,0.021483695818221866,0.03356640900776926,8904459,0.02256666009558363,0.02301002878426368,0.02346210836739019,,0.023239586776907517,0.022782738339338863,0.0,0.0,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,7,0.0,0.035511132444095116,0.0,0.0,0.0,0.03392594035073315,0.0,0.022460657070800145,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.0331904079081973,0.03470948805565066,0.036298094449987446,8904459,0.005800418616356462,0.02301002878426369,0.09127986438075825,,0.046479173553815034,0.011391369169669431,0.0,0.0,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,8,0.0,0.08285930903622195,0.0,0.0,0.045565476678677726,0.0,0.05615164267700036,0.011230328535400073,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.04229609467090611,0.059627494868996586,0.08406067207897248,8904459,0.017048286855424533,0.04141087666629802,0.10058844743838298,0.011837044148031706,0.19753648760371392,0.045565476678677726,0.03392594035073315,0.03369098560620022,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,9,0.0,0.07102226488819025,0.011723116402925856,0.023239586776907517,0.022782738339338863,0.0,0.04492131414160029,0.03369098560620022,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.015686681717603044,0.028796842715137803,0.05286383476690428,8904459,0.018833158521270488,0.06097203784480935,0.19739595961825285,0.05918522074015853,0.13943752066144513,0.1480877992057026,0.01130864678357772,0.0,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,10,0.0,0.07102226488819025,0.0,0.046479173553815034,0.011391369169669431,0.0,0.022460657070800145,0.022460657070800145,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.013742285619703207,0.030315366615038822,0.0668754440445154,8904459,0.03381114696176238,0.08161658475332395,0.19701392899595674,0.023674088296063413,0.1510573140498989,0.3189583367507441,0.0565432339178886,0.05615164267700036,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,11,0.0,0.011837044148031706,0.0,0.19753648760371392,0.0,0.03392594035073315,0.08984262828320058,0.0,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.015656749270703003,0.051668545291460345,0.170510399469137,8904459,0.04538516542848849,0.07057659057978657,0.10975073222362182,0.05918522074015853,0.12781772727299134,0.11391369169669432,0.04523458713431088,0.04492131414160029,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
23,12,0.0,0.05918522074015853,0.0,0.13943752066144513,0.011391369169669431,0.01130864678357772,0.07861229974780051,0.011230328535400073,,0.05615164267700036,,,,,,0.06469720837245921,0.04098540009408888,0.12145899077803682,0.22460657070800144,0.013957299484356164,0.03840731950301623,0.10568822379000606,8904459,0.03058973589722899,0.05381368722518808,0.09466943233833873,0.08285930903622195,0.10457814049608384,0.06834821501801659,0.03392594035073315,0.022460657070800145,5,0.12931825893322932,2.71 vez(es) maior,1.21 vez(es) menor,2.76 vez(es) menor,1.53 vez(es) maior,2.47 vez(es) maior,1.27 vez(es) menor,1.13 vez(es) maior
