UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
50,1,0.0,0.0,0.0,0.039152274942935564,0.11595238067630388,0.0381729363806025,0.037718270919024535,0.11184072687525212,0.20693699821084652,0.5573066974150666,-19.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.03750196711902133,0.03794492266665268,0.0383931101962906,2682386,0.0,0.11451880914180747,0.11451880914180747,0.11451880914180748,,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,2,0.0,0.0,0.0,0.0,0.1546031742350718,0.0,0.0,0.18640121145875352,0.20693699821084652,0.5573066974150666,-18.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.0,0.0,0.0,2682386,0.0,0.0,0.0,0.0,,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,3,0.0,0.0,0.0,0.0,0.03865079355876795,0.0,0.07543654183804907,0.2609616960422549,0.20693699821084652,0.5573066974150666,-17.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.0,0.07543654183804907,0.07543654183804907,2682386,0.03750196711902133,0.03794492266665268,0.0383931101962906,0.0381729363806025,0.037718270919024535,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,4,0.0,0.0,0.0,0.0,0.11595238067630388,0.0,0.037718270919024535,0.14912096916700282,0.20693699821084652,0.5573066974150666,-16.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.0,0.037718270919024535,0.037718270919024535,2682386,0.0,0.19086468190301248,0.19086468190301248,0.1908646819030125,0.0,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,5,0.0,0.040221103449884714,0.0,0.0,0.03865079355876795,0.11451880914180748,0.1131548127570736,0.37280242291750704,0.20693699821084652,0.5573066974150666,-15.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.04078204517355631,0.08047628961508017,0.15880599324159633,2682386,0.04831477998524648,0.11999238126557256,0.29800759863087833,0.1908646819030125,0.07543654183804907,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.037718270919024535,0.6337641189597619,0.20693699821084652,0.5573066974150666,-14.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.0,0.037718270919024535,0.037718270919024535,2682386,0.03750196711902133,0.03794492266665268,0.0383931101962906,0.0381729363806025,0.037718270919024535,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,7,0.0,0.0,0.0,0.0,0.0773015871175359,0.0381729363806025,0.037718270919024535,0.29824193833400564,0.20693699821084652,0.5573066974150666,-13.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.03750196711902133,0.03794492266665268,0.0383931101962906,2682386,0.11250590135706397,0.11383476799995804,0.1151793305888718,0.11451880914180748,0.1131548127570736,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,8,0.0,0.0,0.0,0.0,0.03865079355876795,0.1908646819030125,0.2263096255141472,0.07456048458350141,0.20693699821084652,0.5573066974150666,-12.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.1758805145520781,0.20783290087314757,0.24559010869028203,2682386,0.008157883652907342,0.18589139772533336,4.235854937200898,0.91615047313446,0.037718270919024535,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,9,0.0,0.0,0.0,0.039152274942935564,0.0,0.1908646819030125,0.1131548127570736,0.11184072687525212,0.20693699821084652,0.5573066974150666,-11.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.08804240524338472,0.14696005356107417,0.24530517178591682,2682386,0.009365820948053528,0.1609866727751355,2.7671582614009673,0.6871128548508451,0.037718270919024535,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
50,10,0.0,0.040221103449884714,0.03967773741670155,0.039152274942935564,0.0,0.0381729363806025,0.2640278964331717,0.18640121145875352,0.20693699821084652,0.5573066974150666,-10.0,20.0,[18.0-23.0],11.0,[5.0-23.0],0.3052116029482359,0.40093342910537655,0.9915300251810523,1.4794893536804752,0.02491157844528046,0.0633288448070104,0.16099110674178146,2682386,0.1613304413988859,0.32197334555027096,0.642574546663021,0.4580752365672299,0.2263096255141472,2,0.40830763468039705,6.19 vez(es) maior,1.69 vez(es) menor,1.72 vez(es) menor,4.12 vez(es) maior,5.49 vez(es) maior,2.62 vez(es) maior,1.11 vez(es) maior
