UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
33,1,0.0,0.006221224503711147,0.01236438204827735,0.012289553682736815,0.0,0.018224703670874486,0.018126861930834664,0.02404424718544053,0.029463781627625352,0.07418955926049736,-17.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.008554011129734123,0.012557798223969633,0.01843559633512384,16635996,0.002563730759918403,0.014922163242494466,0.08685426696005315,,0.0,0.036654251260860415,0.006074901223624829,,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,2,0.0,0.006221224503711147,0.006182191024138675,0.0,0.006109041876810071,0.006074901223624829,0.024169149241112884,0.006011061796360133,0.029463781627625352,0.07418955926049736,-16.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.004725423118194165,0.008082736039036207,0.013825348596868296,16635996,0.002428053737814552,0.01616485033854978,0.10761804090172508,,0.0061447768413684075,0.0,0.042524308565373814,,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,3,0.0,0.01866367351113344,0.0,0.0061447768413684075,0.012218083753620141,0.042524308565373814,0.018126861930834664,0.0,0.029463781627625352,0.07418955926049736,-15.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.008682736086205298,0.0160950839363006,0.029835264407970446,16635996,0.005190366381195769,0.01898365784387818,0.06943233649922276,,0.0061447768413684075,0.018327125630430208,0.0607490122362483,,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,4,0.0,0.006221224503711147,0.0,0.0061447768413684075,0.006109041876810071,0.0607490122362483,0.012084574620556442,0.0180331853890804,0.029463781627625352,0.07418955926049736,-14.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.00466784974827626,0.011138459651851345,0.026578679714730574,16635996,0.008229089645247354,0.01582889217355514,0.030447332359143826,0.006221224503711147,0.0,0.018327125630430208,0.03037450611812415,0.018126861930834664,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,5,0.0,0.0,0.006182191024138675,0.012289553682736815,0.030545209384050358,0.03037450611812415,0.012084574620556442,0.030055308981800668,0.029463781627625352,0.07418955926049736,-13.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.008425293715000497,0.015348729987990016,0.027961459886530517,16635996,0.008035114411926308,0.012236272286731088,0.01863400466990095,0.006221224503711147,0.012289553682736815,0.012218083753620141,0.012149802447249659,0.024169149241112884,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,6,0.0,0.01866367351113344,0.01236438204827735,0.0,0.036654251260860415,0.012149802447249659,0.024169149241112884,0.02404424718544053,0.029463781627625352,0.07418955926049736,-12.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.01261931096622265,0.019011872600229306,0.02864271280221437,16635996,0.006948620534457115,0.01309970873977985,0.024695890100217083,0.01866367351113344,0.0061447768413684075,0.006109041876810071,0.03037450611812415,0.018126861930834664,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,7,0.0,0.012442449007422291,0.006182191024138675,0.0061447768413684075,0.0,0.03037450611812415,0.012084574620556442,0.04808849437088106,0.029463781627625352,0.07418955926049736,-11.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.006278068427803103,0.011165006997790931,0.019856008690294264,16635996,0.008446553600565714,0.014697285624442549,0.025573768301426294,0.006221224503711147,0.012289553682736815,0.030545209384050358,0.024299604894499317,0.012084574620556442,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,8,0.0,0.0,0.0,0.0061447768413684075,0.018327125630430208,0.024299604894499317,0.030211436551391108,0.02404424718544053,0.029463781627625352,0.07418955926049736,-10.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.008481179839000581,0.016956755776889668,0.0339023074543086,16635996,0.013437977273856155,0.025768696304319133,0.04941411163986007,0.0,0.02457910736547363,0.061090418768100715,0.024299604894499317,0.012084574620556442,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,9,0.0,0.024884898014844583,0.006182191024138675,0.0,0.018327125630430208,0.024299604894499317,0.012084574620556442,0.012022123592720266,0.029463781627625352,0.07418955926049736,-9.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.009154530662417901,0.015261620303094608,0.025442817645695812,16635996,0.016336637851706273,0.023654941881604663,0.034251617774807425,0.01866367351113344,0.018434330524105223,0.048872335014480565,0.018224703670874486,0.024169149241112884,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
33,10,0.0,0.05599102053340032,0.0,0.012289553682736815,0.012218083753620141,0.018224703670874486,0.006042287310278221,0.030055308981800668,0.029463781627625352,0.07418955926049736,-8.0,18.0,[15.0-22.0],11.0,[8.0-15.0],0.0913609630255943,0.0737415404633961,0.1581090027433127,0.22149496617736483,0.007622394776342384,0.015606441470825202,0.03195334570419164,16635996,0.007928619441165458,0.020196510992785535,0.051446416278210005,0.012442449007422291,0.0061447768413684075,0.08552658627534099,0.042524308565373814,0.012084574620556442,5,0.13758611466320356,47.24 vez(es) maior,1.27 vez(es) maior,2.47 vez(es) menor,1.40 vez(es) menor,1.73 vez(es) maior,1.03 vez(es) menor,1.62 vez(es) maior
