UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
26,1,0.0,0.04451538217902351,0.0,0.0,0.032578418969327415,0.09700207541329353,0.06420131477872534,0.05313060395045168,0.13926209843989562,0.2704667959745155,-16.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.03150266515169159,0.05876043256583635,0.10960305798567642,9410772,0.025586816356153556,0.04190050552405575,0.06861550646761869,0.032578418969327415,0.053890041896274166,,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,2,0.0,0.07790191881329113,0.0,0.010944874280059852,0.010859472989775808,0.053890041896274166,0.2461050399851139,0.17001793264144535,0.13926209843989562,0.2704667959745155,-15.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.008182194159903025,0.03543334386897039,0.15344562023343408,9410772,0.042401396828675,0.05316678443848108,0.06666542092821533,0.05429736494887903,0.04311203351701934,0.06420131477872534,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,3,0.0,0.011128845544755878,0.0,0.0,0.032578418969327415,0.04311203351701934,0.14980306781702582,0.031878362370270995,0.13926209843989562,0.2704667959745155,-14.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.02372619097806085,0.05947709383735406,0.14909787646101735,9410772,0.08537555152437384,0.15764089581797625,0.2910745710052536,0.1846110408261887,0.08622406703403868,0.2461050399851139,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,4,0.0,0.03338653663426763,0.0,0.0,0.05429736494887903,0.06466805027552901,0.11770241042766315,0.10626120790090336,0.13926209843989562,0.2704667959745155,-13.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.04706315382300726,0.07448771054055038,0.11789305583809864,9410772,0.1069584220632024,0.1410357845604079,0.18597032513078798,0.1737515678364129,0.10778008379254836,0.14980306781702582,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,5,0.0,0.0,0.0,0.0,0.1846110408261887,0.053890041896274166,0.08560175303830046,0.07438284553063232,0.13926209843989562,0.2704667959745155,-12.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.0468919400576147,0.09478718307541095,0.1916024388057384,9410772,0.08538519817549298,0.13305858822635508,0.20734961420833523,0.20632998680574036,0.09700207541329353,0.11770241042766315,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,6,0.0,0.03338653663426763,0.0,0.0,0.1737515678364129,0.04311203351701934,0.04280087651915023,0.06375672474054199,0.13926209843989562,0.2704667959745155,-11.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.027467546585761168,0.06844262131862572,0.17054280397191102,9410772,0.0767862112299964,0.10807705201366564,0.15211909775021645,0.15203262185686128,0.09700207541329353,0.08560175303830046,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,7,0.0,0.022257691089511755,0.0,0.0,0.20632998680574036,0.08622406703403868,0.04280087651915023,0.19127017422162604,0.13926209843989562,0.2704667959745155,-10.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.03743505947582007,0.09131620178473626,0.22274971177157452,9410772,0.04320381437670111,0.11260255971175713,0.293477245853494,0.20632998680574036,0.16167012568882252,0.04280087651915023,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,8,0.0,0.022257691089511755,0.0,0.0,0.15203262185686128,0.10778008379254836,0.2033041634659636,0.13813957027117435,0.13926209843989562,0.2704667959745155,-9.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.1042524854544467,0.149350675616217,0.21395772206089947,9410772,0.037649747979274735,0.07118319470607035,0.13458382806045893,0.13031367587730966,0.06466805027552901,0.04280087651915023,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,9,0.0,0.022257691089511755,0.0,0.010944874280059852,0.20632998680574036,0.09700207541329353,0.2461050399851139,0.2656530197522584,0.13926209843989562,0.2704667959745155,-8.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.02109953334491393,0.08568773544483062,0.34798817043189123,9410772,0.10549443239832451,0.18357870234620263,0.31945894384139,0.28234629773417097,0.10778008379254836,0.2033041634659636,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
26,10,0.0,0.07790191881329113,0.0,0.0,0.13031367587730966,0.09700207541329353,0.14980306781702582,0.23377465738198736,0.13926209843989562,0.2704667959745155,-7.0,17.0,[14.0-20.0],4.0,[1.0-20.0],0.37447333652906933,0.3130853046454604,0.47386712126922753,0.5691311775892847,0.09624508723468127,0.12371734073322031,0.15903129019747336,9410772,0.09722437309679184,0.17014582416775637,0.2977607420816615,0.20632998680574036,0.09700207541329353,0.2461050399851139,3,0.3694048469745681,2.61 vez(es) maior,4.74 vez(es) menor,33.48 vez(es) menor,3.07 vez(es) menor,1.12 vez(es) maior,1.90 vez(es) maior,1.45 vez(es) maior
