UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
35,1,0.0,0.19300161095149512,0.039637944219526315,0.020794171938874933,0.0251925691356812,0.059043534705698876,0.027029167444881444,0.05139699375408089,0.08824300546259105,0.17826408039047303,-15.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.018881314937757736,0.05030682348656435,0.13403602967542508,44749699,0.02149256903036483,0.030264367772088536,0.04261621564877596,,0.02541509903640269,,0.0360388899265086,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,2,0.0,0.12945230002844185,0.027979725331430342,0.023104635487638813,0.052675371829151614,0.08175258651558304,0.0360388899265086,0.055866297558783584,0.08824300546259105,0.17826408039047303,-14.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.02539463395851067,0.054484183869906146,0.11689580943831164,44749699,0.014785025683340402,0.03678425341893008,0.09151700704265298,,0.023104635487638813,,0.058563196130576464,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,3,0.0,0.10356184002275348,0.03031136910904953,0.01848370839011105,0.0320632698090488,0.0635853450676757,0.058563196130576464,0.05363164565643224,0.08824300546259105,0.17826408039047303,-13.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.025265725193502953,0.05167050038756359,0.10567045235605406,44749699,0.036789438997835565,0.04835672763535078,0.06356098846022282,,0.0369674167802221,0.059043534705698876,0.051805904269356114,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,4,0.0,0.1106228745697594,0.020984793998572757,0.013862781292583287,0.0435144375979948,0.07039806061064095,0.051805904269356114,0.060335601363486265,0.08824300546259105,0.17826408039047303,-12.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.020273020209317826,0.04863050911119045,0.11665387751779661,44749699,0.02819344144195491,0.047756299850975084,0.08089342977698233,,0.0369674167802221,0.08175258651558304,0.0360388899265086,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,5,0.0,0.09650080547574756,0.020984793998572757,0.0069313906462916425,0.0480949047135732,0.07948168133459463,0.0360388899265086,0.09162072799640507,0.08824300546259105,0.17826408039047303,-11.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.011494975234784944,0.03720466867329564,0.12041673364384607,44749699,0.03692177810664274,0.0559045513264568,0.08464702999908216,,0.0369674167802221,0.0635853450676757,0.07433021047342397,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,6,0.0,0.08002505819940041,0.02331643777619195,0.009241854195055523,0.0480949047135732,0.07266896579162938,0.07433021047342397,0.08715142419170238,0.08824300546259105,0.17826408039047303,-10.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.01594988757325401,0.04470693156204905,0.1253118381251368,44749699,0.0441708878752989,0.06061846563537518,0.08319050290229865,,0.04389880742651375,0.07039806061064095,0.0720777798530172,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,7,0.0,0.08002505819940041,0.025648081553811142,0.020794171938874933,0.0366437369246272,0.08629439687755988,0.0720777798530172,0.19441471550456685,0.08824300546259105,0.17826408039047303,-9.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.029328848269679852,0.056720220045385975,0.10969347764408899,44749699,0.04459149070059501,0.08707184659576286,0.17002137292294867,0.19300161095149512,0.0369674167802221,0.07948168133459463,0.10135937791830543,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,8,0.0,0.15769643821646553,0.03031136910904953,0.023104635487638813,0.0389339704824164,0.07039806061064095,0.10135937791830543,0.16312958887164805,0.08824300546259105,0.17826408039047303,-8.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.03192812001340075,0.07140628011422401,0.159697997802907,44749699,0.03613439063290769,0.06828071593929745,0.1290254543530921,0.12945230002844185,0.02772556258516657,0.07266896579162938,0.08333993295505113,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,9,0.0,0.19535528913383046,0.0069949313328575855,0.02541509903640269,0.057255838944730006,0.09310711242052512,0.08333993295505113,0.28603544350097193,0.08824300546259105,0.17826408039047303,-7.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.03446194021675794,0.07878403978775655,0.18010956104730697,44749699,0.0661682427427654,0.0828691174547202,0.103785295529479,0.10356184002275348,0.06007205226786092,0.08629439687755988,0.0878447941958647,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
35,10,0.0,0.3695274746266431,0.027979725331430342,0.023104635487638813,0.0320632698090488,0.06585625024866411,0.0878447941958647,0.5810094946113492,0.08824300546259105,0.17826408039047303,-6.0,16.0,[11.0-23.0],13.0,[10.0-15.0],0.18544158750874012,0.2224257798043017,0.41738541860599193,0.5512602089744977,0.02733977377982149,0.08383294462775823,0.2570600130622831,44749699,0.03442036952643147,0.07474148560699777,0.16229604003673848,0.1106228745697594,0.02541509903640269,0.07039806061064095,0.1576701434284751,4,0.42073840880078084,14.51 vez(es) maior,1.08 vez(es) menor,6.94 vez(es) menor,1.43 vez(es) maior,4.07 vez(es) maior,1.09 vez(es) maior,1.44 vez(es) menor
