UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
BR,1,0.0,0.1580580470684281,0.018237357567377238,0.0356349742355623,0.03432277196436795,0.04734461745603345,0.03228162900084509,0.03251142004875044,0.08864345651051729,0.17415453879252407,-15.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.027576650332534845,0.04944248539279956,0.08864598609110673,206081432,0.03653429258655327,0.04822770266635926,0.0636637837988637,,0.0346311721444197,0.044271401519257216,0.06805788759304808,0.0518462526377209,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,2,0.0,0.12276353170363348,0.015704391238574842,0.023589349141851096,0.04128681265279043,0.06805788759304808,0.0518462526377209,0.04755401738473945,0.08864345651051729,0.17415453879252407,-14.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.03111727303918544,0.05309315152643484,0.09058900294570156,206081432,0.031008749473699134,0.04705516859459328,0.07140529460382203,,0.025095052278565,0.052727736640913084,0.06312615660804459,0.05869387091062742,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,3,0.0,0.08133083975365718,0.013678018175532923,0.0281064585519928,0.038302223786323655,0.06312615660804459,0.05869387091062742,0.04367205678190357,0.08864345651051729,0.17415453879252407,-13.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.03473714838783333,0.050375282524196006,0.07305346602029615,206081432,0.045563329074279214,0.05462483857949366,0.06548847615966134,,0.042661588873560495,0.05869691437384662,0.06608519519904668,0.05380271500140848,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,4,0.0,0.08900356048513428,0.01114505184673053,0.020076041822852,0.04377397004151275,0.06608519519904668,0.05380271500140848,0.048039262460093934,0.08864345651051729,0.17415453879252407,-12.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.029847730982563044,0.04884745657328315,0.07994155452127065,206081432,0.04526014287233789,0.05329738536478161,0.06276187184681122,,0.045171094101417,0.06665581801775805,0.05424904083503833,0.04940067468311142,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,5,0.0,0.0905381046314297,0.01165164511249101,0.0266007554152789,0.053225168118657545,0.05424904083503833,0.04940067468311142,0.057744163967183626,0.08864345651051729,0.17415453879252407,-11.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.03477721868063022,0.05095578199880036,0.07466070656637729,206081432,0.05721881953052935,0.059056502506960144,0.06095320590271402,,0.0592243233774134,0.06168150324031343,0.05720807942604043,0.05820475531970554,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,6,0.0,0.09207264877772513,0.01165164511249101,0.0286083595975641,0.044271401519257216,0.05720807942604043,0.05820475531970554,0.04949499768615738,0.08864345651051729,0.17415453879252407,-10.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.035899470947201334,0.05221947966338501,0.07595861399532028,206081432,0.060910411962387175,0.0707411489557643,0.08215853405607973,,0.0667528390609829,0.08555821417204762,0.07348279167655193,0.05967210209247122,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,7,0.0,0.08133083975365718,0.016717577770095797,0.0346311721444197,0.052727736640913084,0.07348279167655193,0.05967210209247122,0.0917113192419975,0.08864345651051729,0.17415453879252407,-9.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.04321341330022332,0.0579086862370059,0.07760127436354737,206081432,0.07187145201471477,0.07758230716987063,0.08374694286916373,,0.0737794536989811,0.08406591973881425,0.07151009928255052,0.08168230368395651,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,8,0.0,0.150385326336951,0.018743950833137717,0.025095052278565,0.05869691437384662,0.07151009928255052,0.08168230368395651,0.08928509386522507,0.08864345651051729,0.17415453879252407,-8.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.03765083340106149,0.06643253721652011,0.11721605081123929,206081432,0.06449081632155912,0.08929735392001716,0.123645782018906,0.1580580470684281,0.0577186202406995,0.07560958461715837,0.09616875420756794,0.08559522841133167,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,9,0.0,0.20255982731099526,0.01519779797281436,0.042661588873560495,0.06665581801775805,0.09616875420756794,0.08559522841133167,0.1290751900442928,0.08864345651051729,0.17415453879252407,-7.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.052231615872182655,0.08613554192074635,0.14204675574534573,206081432,0.06671434883328822,0.08800361651619501,0.11608651894785782,0.12276353170363348,0.06876044324326809,0.11739382874769325,0.0601671180170425,0.08852992195686306,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,10,0.0,0.2905403583652659,0.018743950833137717,0.045171094101417,0.06168150324031343,0.0601671180170425,0.08852992195686306,0.21690454868345446,0.08864345651051729,0.17415453879252407,-6.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.04455401711077186,0.08451509103104606,0.1603177687486025,206081432,0.08077729986454128,0.1041797901196264,0.1343623603112503,0.08133083975365718,0.07879846415469409,0.15420375810078354,0.09764827350306897,0.12717005363969278,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,11,0.0,0.33913425633128746,0.024823070022263454,0.0592243233774134,0.08555821417204762,0.09764827350306897,0.12717005363969278,0.2911470452126905,0.08864345651051729,0.17415453879252407,-5.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.0653481526372375,0.1163688066183589,0.20722390162969212,206081432,0.0826029540468955,0.11790675197358329,0.1682990919800231,0.08900356048513428,0.0777946620635515,0.21737755577433035,0.10899125476857699,0.13890882782181824,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,12,0.0,0.3202082118603106,0.02229010369346106,0.0667528390609829,0.08406591973881425,0.10899125476857699,0.13890882782181824,0.4095468435991846,0.08864345651051729,0.17415453879252407,-4.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.07189676126365997,0.12215991867129104,0.20756214143013504,206081432,0.07075415016156195,0.11966739084480406,0.20239497469623716,0.0905381046314297,0.061231927559698585,0.30940237915705604,0.12773183251159026,0.11200747032111402,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,13,0.0,0.2552458430004713,0.016210984504335318,0.0737794536989811,0.07560958461715837,0.12773183251159026,0.11200747032111402,1.252902784565278,0.08864345651051729,0.17415453879252407,-3.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.0740549003868442,0.11529312726647781,0.17949528154717026,206081432,0.09245455747790658,0.15360719007930443,0.2552082827252511,0.09207264877772513,0.0993764070231174,0.3944631618513592,0.1509109681411066,0.1570061046859284,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,14,0.0,0.2659876520245392,0.02127691716194011,0.0577186202406995,0.11739382874769325,0.1509109681411066,0.1570061046859284,1.5983972782176707,0.08864345651051729,0.17415453879252407,-2.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.08212436813320836,0.13368787052029396,0.21762659647208737,206081432,0.0962264660152244,0.16782941225256032,0.2927127305348974,0.08133083975365718,0.1209581519826833,0.4491806244032501,0.1844467388391303,0.16336460736791306,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,15,0.0,0.3094664028362427,0.025329663288023937,0.06876044324326809,0.15420375810078354,0.1844467388391303,0.16336460736791306,1.6454660505270555,0.08864345651051729,0.17415453879252407,-1.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.09843715754841915,0.1581303445941708,0.25402202282376624,206081432,0.12293887954383878,0.19228380503514453,0.3007434410983813,0.150385326336951,0.1746615638588124,0.4670881576020508,0.1671856803916181,0.12814828482153656,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,16,0.0005166784607997782,0.2404119162529489,0.02330329022498202,0.07879846415469409,0.21737755577433035,0.1671856803916181,0.12814828482153656,1.2412569027567704,0.08864345651051729,0.17415453879252407,0.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.10427423179322978,0.15456816950995989,0.22912006748738176,206081432,0.1556516457045337,0.2456512868852847,0.38768979585956787,0.20255982731099526,0.21330794436780248,0.5954254788601222,0.2308050100981631,0.15064760200394375,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,17,0.004133427686398226,0.18926044470976827,0.02684944308530537,0.0777946620635515,0.30940237915705604,0.2308050100981631,0.15064760200394375,1.2747388129562298,0.08864345651051729,0.17415453879252407,1.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.1100302904380351,0.17375933736085747,0.2743999602281106,206081432,0.18475353077562384,0.27810702116013397,0.4186307828265214,0.2905403583652659,0.2072851318209469,0.6128355805811785,0.2298186639011624,0.19613535195968,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
BR,18,0.00878353383359623,0.18823741527890467,0.032421969008670636,0.061231927559698585,0.3944631618513592,0.2298186639011624,0.19613535195968,1.081611272965145,0.08864345651051729,0.17415453879252407,2.0,16.0,[11.0-23.0],12.0,[10.0-14.0],0.22198644421091349,0.2186884029248914,0.48857608303738137,0.6970025145578809,0.10086095566107695,0.18294742519781615,0.3318406034043438,206081432,0.23643758189738212,0.35012451592817034,0.5184758517245389,0.33913425633128746,0.30264633047949385,0.7416703333169944,0.3092195327597184,0.22352582505130614,5,0.4226687882587049,13.75 vez(es) maior,1.25 vez(es) menor,3.95 vez(es) menor,1.49 vez(es) maior,1.81 vez(es) maior,1.28 vez(es) menor,1.68 vez(es) menor
