UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
29,1,0.0,0.0,0.0,0.0,0.006647107773613069,0.013221941997852623,0.019731735220634344,0.019637921244866158,0.022917221523449476,0.058467216040889725,-16.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.006445435479338028,0.012014279994055988,0.02239459602664404,15276566,0.011037434881409416,0.01632928499452924,0.02415828961144537,,0.013371507203531788,0.01994132332083921,,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,2,0.0,0.0,0.013454056583053068,0.0,0.013294215547226138,0.019832912996778942,0.026308980294179125,0.006545973748288718,0.022917221523449476,0.058467216040889725,-15.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.012937026936958425,0.019071480701204967,0.02811475757983901,15276566,0.005033469369700793,0.016751592789874196,0.05574998880234485,,0.05348602881412715,0.006647107773613069,0.013221941997852623,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,3,0.0,0.006771254561794198,0.0,0.0,0.0,0.019832912996778942,0.026308980294179125,0.006545973748288718,0.022917221523449476,0.058467216040889725,-14.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.0067732811423773485,0.015230700840523016,0.03424843044564483,15276566,0.006292262694314073,0.01742235858628513,0.04823997240029286,,0.006685753601765894,0.03988264664167842,0.019832912996778942,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,4,0.0,0.006771254561794198,0.006727028291526534,0.0,0.006647107773613069,0.019832912996778942,0.06577245073544781,0.0327298687414436,0.022917221523449476,0.058467216040889725,-13.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.005358601837734583,0.015566217635172446,0.04521834963726138,15276566,0.01722986286506549,0.022963580744673164,0.030605353318644623,,0.0,0.026588431094452275,0.019832912996778942,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,5,0.0,0.0,0.006727028291526534,0.0,0.013294215547226138,0.006610970998926311,0.019731735220634344,0.006545973748288718,0.022917221523449476,0.058467216040889725,-12.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.006420521791128169,0.012014279994055988,0.022481494257215358,15276566,0.011741560395033752,0.015219832110609408,0.019728492779640575,,0.013371507203531788,0.013294215547226138,0.019832912996778942,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,6,0.0,0.0,0.0,0.0,0.0,0.02644388399570525,0.026308980294179125,0.013091947496577437,0.022917221523449476,0.058467216040889725,-11.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.02624447360423013,0.026376345898258317,0.026508880819481644,15276566,0.004727591387356806,0.009374842581941696,0.01859037007115904,,0.0,0.013294215547226138,0.006610970998926311,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,7,0.0,0.013542509123588396,0.0,0.0,0.006647107773613069,0.006610970998926311,0.032886225367723905,0.013091947496577437,0.022917221523449476,0.058467216040889725,-10.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.005614159884481346,0.011827767649823163,0.024918436677392086,15276566,0.003426029580521256,0.01325802952449475,0.05130584624013404,0.0,0.0,0.006647107773613069,0.02644388399570525,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,8,0.0,0.006771254561794198,0.0,0.0,0.01994132332083921,0.019832912996778942,0.07234969580899259,0.04582181623802103,0.022917221523449476,0.058467216040889725,-9.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.008116820040840871,0.020980294645910457,0.05422970587181073,15276566,0.0034178060047041292,0.013295748008394606,0.05172233732968476,0.0,0.006685753601765894,0.05317686218890455,0.006610970998926311,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,9,0.0,0.013542509123588396,0.0,0.020057260805297683,0.013294215547226138,0.013221941997852623,0.06577245073544781,0.07855168497946463,0.022917221523449476,0.058467216040889725,-8.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.010877698543940991,0.019924826542843294,0.03649657242832176,15276566,0.005164579632625186,0.008789409196443453,0.014958374062915985,0.006771254561794198,0.006685753601765894,0.006647107773613069,0.019832912996778942,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
29,10,0.0,0.020313763685382596,0.0,0.020057260805297683,0.026588431094452275,0.02644388399570525,0.06577245073544781,0.16364934370721795,0.022917221523449476,0.058467216040889725,-7.0,17.0,[10.0-28.0],10.0,[7.0-15.0],0.0664977575546129,0.04083194855115501,0.10523650870080839,0.15991843127520494,0.018608678764853566,0.02851181072919408,0.043685172995342615,15276566,0.006546120239885543,0.012131265881695587,0.02248165424699938,0.006771254561794198,0.0,0.01994132332083921,0.013221941997852623,,5,0.12650379425410432,4.20 vez(es) maior,1.17 vez(es) menor,4.70 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.20 vez(es) menor,1.25 vez(es) maior
