UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
BR,12,0.0,626.0,44.0,133.0,169.0,221.0,284.0,844.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,145.2476076293106,245.02176192524755,413.3332369244314,-4.0,16.0,12.0,141.20306982030272,240.022384336131,407.999238654781,177.0,122.0,622.0,259.0,229.0,5
BR,13,0.0,499.0,32.0,147.0,152.0,259.0,229.0,2582.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,149.6579497324861,231.24872288690466,357.32129120045295,-3.0,16.0,12.0,184.12155193020402,308.09699913841473,515.5494285322969,180.0,198.0,793.0,306.0,321.0,5
BR,14,0.0,520.0,42.0,115.0,236.0,306.0,321.0,3294.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,165.19963600244864,268.14390463911576,435.23796622678674,-2.0,16.0,12.0,191.41761236072497,336.62316363890295,591.9787259947749,159.0,241.0,903.0,374.0,334.0,5
BR,15,0.0,605.0,50.0,137.0,310.0,374.0,334.0,3391.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,198.15014612013374,317.16929798035216,507.67746353495113,-1.0,16.0,12.0,246.55519676033964,385.6724628818386,603.2857979867563,294.0,348.0,939.0,339.0,262.0,5
BR,16,1.0,470.0,46.0,157.0,437.0,339.0,262.0,2558.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,209.98999030802597,310.0244797378961,457.7131409728893,0.0,16.0,12.0,312.399723044414,492.71407337619866,777.104268010032,396.0,425.0,1197.0,468.0,308.0,5
BR,17,8.0,370.0,53.0,155.0,622.0,468.0,308.0,2627.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,220.19060107094347,348.51708689886635,551.6319010425758,1.0,16.0,12.0,371.5341568384808,557.8120308985797,837.4849420654152,568.0,413.0,1232.0,466.0,401.0,5
BR,18,17.0,368.0,64.0,122.0,793.0,466.0,401.0,2229.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,201.47559661158664,366.94605685089556,668.3162174623243,2.0,16.0,12.0,475.59652617426235,702.2608292396145,1036.9509555744937,663.0,603.0,1491.0,627.0,457.0,5
BR,19,19.0,350.0,76.0,198.0,903.0,627.0,457.0,2229.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,269.78839453944494,447.42571951409417,742.0251520620385,3.0,16.0,12.0,511.40661048279196,755.7569035542488,1116.8578691829894,626.0,876.0,1540.0,568.0,514.0,5
BR,20,11.0,336.0,74.0,241.0,939.0,568.0,514.0,2098.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,296.0295502932773,466.94601497789984,736.5432967341592,4.0,16.0,12.0,473.13879117712395,733.9815136250779,1138.6275494407353,499.0,988.0,1479.0,667.0,438.0,5
BR,21,13.0,304.0,64.0,348.0,1197.0,667.0,438.0,1555.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,317.713009353501,517.1653082711521,841.8287832262117,5.0,16.0,12.0,446.5165315602826,728.3453967361189,1188.0568342967954,520.0,1251.0,1354.0,614.0,379.0,5
