UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
32,11,0.0,0.02704718083177113,0.05339631250405479,0.0,0.0,0.0,0.02544586887591093,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.02087137999504841,0.03324682559607627,0.052960149854880186,3973697,0.0,0.10295880438058826,0.10295880438058826,0.0,0.10295880438058826,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,12,0.0,0.10818872332708453,0.0,0.052730462440882565,0.0,0.05147940219029413,0.0,0.07549644575316135,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.041230669015878116,0.06647000176942747,0.10715957903875385,3973697,0.05118796144507238,0.05178476240733826,0.05238852147808329,0.052091933928674686,0.05147940219029413,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,13,0.0,0.05409436166354226,0.0,0.0,0.0,0.10295880438058826,0.10178347550364372,0.3523167468480863,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.05455403995481951,0.08276198956606894,0.12555526451582236,3973697,0.0,0.026045966964337343,0.026045966964337343,0.026045966964337343,0.0,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,14,0.0,0.02704718083177113,0.0,0.026365231220441283,0.0,0.05147940219029413,0.05089173775182186,0.7801299394493341,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.025580682403642332,0.036970778113745315,0.05343244612353151,3973697,0.023190753806917073,0.051485359810172666,0.11430168664859484,0.10418386785734936,0.05147940219029413,0.02544586887591093,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,15,0.0,0.10818872332708453,0.0,0.0,0.0,0.0,0.10178347550364372,1.4344324693100656,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.09884517805183646,0.10493723967463982,0.11140476943405345,3973697,0.03670108107499806,0.07323471332072615,0.14613529296886593,0.10418386785734936,0.05147940219029413,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,16,0.0,0.05409436166354226,0.0,0.0,0.0,0.05147940219029413,0.0,1.2582740958860226,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.05026955027345402,0.052770686941755095,0.055396266430799354,3973697,0.023649768356475052,0.051485359810172666,0.11208322359982854,0.052091933928674686,0.025739701095147064,0.10178347550364372,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,17,0.02741171713849085,0.02704718083177113,0.0,0.0,0.07813790089301202,0.05147940219029413,0.12722934437955466,2.113900481088518,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.032063140867241366,0.060995968607971664,0.11603692232865045,3973697,0.023339985439657283,0.051485359810172666,0.11357086239989812,0.10418386785734936,0.025739701095147064,0.05089173775182186,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,18,0.0,0.02704718083177113,0.0,0.0,0.0,0.025739701095147064,0.05089173775182186,1.1827776501328608,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.021363770217014418,0.03284411732503975,0.05049371117097372,3973697,0.05109820847969989,0.08803872688139036,0.15168471970940553,0.1302298348216867,0.05147940219029413,0.10178347550364372,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,19,0.0,0.0,0.0,0.0,0.052091933928674686,0.025739701095147064,0.0,1.459597951227786,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.018350540537499037,0.03661735666036309,0.073067646484433,3973697,0.011820744307435549,0.057897124470741995,0.28357579986499243,0.1302298348216867,0.025739701095147064,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,20,0.0,0.0,0.0,0.0,0.026045966964337343,0.05147940219029413,0.02544586887591093,1.7364182523227112,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.020620235280558216,0.03243374429312403,0.05101531357712413,3973697,0.0486693035875267,0.11536336791575566,0.2734517586209483,0.23441370267903605,0.05147940219029413,0.12722934437955466,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
