UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
42,1,0.0,0.03148903126829316,0.0465389812834179,0.03057825311332484,0.030146569606771163,0.01486514047260444,0.014664498276188228,0.028941243920710832,0.20534972895771667,0.38437287189189817,-20.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.013562580228942748,0.02377404606004296,0.04167387447846301,6910553,0.0,0.0,0.0,0.0,,,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,2,0.0,0.06297806253658632,0.0775649688056965,0.04586737966998726,0.030146569606771163,0.23784224756167105,0.05865799310475291,0.057882487841421665,0.20534972895771667,0.38437287189189817,-19.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.04794103011544493,0.09085896379841066,0.1721980375190418,6910553,0.014460673792449039,0.01529851092671132,0.016184891515699438,0.01574451563414658,0.01486514047260444,,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,3,0.0,0.06297806253658632,0.015512993761139297,0.01528912655666242,0.12058627842708465,0.13378626425343995,0.13198048448569405,0.04341186588106625,0.20534972895771667,0.38437287189189817,-18.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.0238911963259698,0.06444682696130265,0.17384619207474908,6910553,0.09283479926742277,0.17308289309334507,0.32269890297565335,0.12595612507317264,0.23784224756167105,,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,4,0.0,0.0,0.015512993761139297,0.01528912655666242,0.04521985441015674,0.07432570236302219,0.11731598620950585,0.04341186588106625,0.20534972895771667,0.38437287189189817,-17.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.015448883253087495,0.0513330747611238,0.17056796412158132,6910553,0.01396190032088116,0.04980688072875979,0.17767820360519102,0.06297806253658632,0.13378626425343995,0.014664498276188228,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,5,0.0,0.01574451563414658,0.015512993761139297,0.0764456327833121,0.12058627842708465,0.02973028094520888,0.07332249138094114,0.04341186588106625,0.20534972895771667,0.38437287189189817,-16.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.013189660357175129,0.027012531552711147,0.055321884046034116,6910553,0.045688226496758334,0.05905258686055363,0.07632618471567627,0.047233546902439735,0.07432570236302219,0.05865799310475291,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,6,0.0,0.12595612507317264,0.0,0.01528912655666242,0.030146569606771163,0.08919084283562663,0.1466449827618823,0.04341186588106625,0.20534972895771667,0.38437287189189817,-15.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.0885227809433411,0.11810517372110728,0.15757336033784186,6910553,0.030317373241937742,0.08222934833036832,0.22302940538013688,0.14170064070731922,0.02973028094520888,0.13198048448569405,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,7,0.0,0.06297806253658632,0.0930779625668358,0.03057825311332484,0.060293139213542325,0.10405598330823106,0.13198048448569405,0.07235310980177709,0.20534972895771667,0.38437287189189817,-14.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.07000009023964608,0.09472251813731096,0.12817634108122214,6910553,0.0713428093020475,0.14628061910539067,0.2999323931198526,0.29914579704878497,0.08919084283562663,0.11731598620950585,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,8,0.0,0.047233546902439735,0.015512993761139297,0.01528912655666242,0.15073284803385578,0.13378626425343995,0.11731598620950585,0.1012943537224879,0.20534972895771667,0.38437287189189817,-13.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.021942305083904906,0.05823428196853005,0.1545522033087488,6910553,0.07067946538301764,0.10263418268837796,0.14903586775915714,0.14170064070731922,0.10405598330823106,0.07332249138094114,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,9,0.0,0.14170064070731922,0.0620519750445572,0.01528912655666242,0.060293139213542325,0.16351654519864886,0.1026514879333176,0.11576497568284333,0.20534972895771667,0.38437287189189817,-12.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.07234371136343948,0.11022080882866599,0.16792927083617826,6910553,0.111464235734489,0.1771577605816609,0.28156898872090913,0.28340128141463844,0.13378626425343995,0.1466449827618823,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
42,10,0.0,0.29914579704878497,0.0465389812834179,0.04586737966998726,0.07536642401692789,0.1932468261438577,0.1466449827618823,0.1012943537224879,0.20534972895771667,0.38437287189189817,-11.0,21.0,[15.0-29.0],11.0,[6.0-18.0],0.28090828653616245,0.33890783016353276,0.5756561387885549,0.727540647502977,0.06467415720824302,0.14093531781639798,0.307120566628389,6910553,0.11706601174190136,0.18287643354722838,0.2856831752386703,0.28340128141463844,0.16351654519864886,0.13198048448569405,3,0.46005427936298104,39.74 vez(es) maior,1.08 vez(es) menor,1.74 vez(es) menor,9.04 vez(es) maior,4.06 vez(es) maior,1.52 vez(es) maior,1.24 vez(es) maior
