UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
AsBSh,1,0.0,0.07748241172498566,0.003074653604144313,0.004576946573089062,0.013631087372892193,0.028576769204325888,0.020916591014594057,0.017814678707370475,0.0424038712786269,0.08189595232801963,-14.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.00791133504470285,0.01959578660090538,0.048537301269440274,67360182,0.024504616349713657,0.03003456540808852,0.03681245632981675,,0.03332043580040313,0.02707272871988768,,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,2,0.0,0.07748241172498566,0.00461198040621647,0.0030512977153927074,0.009087391581928127,0.02707272871988768,0.05229147753648514,0.02820657462000325,0.0424038712786269,0.08189595232801963,-13.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.0062059981173742005,0.019797847757243567,0.06315741133109348,67360182,0.018018693886661347,0.03681563046250848,0.07522135926596403,,0.05300978422791408,0.025568688235449482,,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,3,0.0,0.026344019986495125,0.00461198040621647,0.007628244288481769,0.009087391581928127,0.025568688235449482,0.03585701316787553,0.008907339353685238,0.0424038712786269,0.08189595232801963,-12.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.009535740105042639,0.017569754295254005,0.03237255447349632,67360182,0.029227058767076156,0.04497593929980897,0.0692110394008854,,0.056038914755223455,0.036096971626516906,,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,4,0.0,0.034092261158993685,0.00461198040621647,0.006102595430785415,0.01817478316385625,0.036096971626516906,0.03735105538320368,0.02820657462000325,0.0424038712786269,0.08189595232801963,-11.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.011136194552127828,0.021952432680288157,0.04327414525013874,67360182,0.01639029343402992,0.0271495459720945,0.044971607705356416,,0.04543695790964065,0.021056566782134863,0.020916591014594057,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,5,0.0,0.017046130579496846,0.00461198040621647,0.009153893146178123,0.04543695790964065,0.021056566782134863,0.02390467544525035,0.022268348384213096,0.0424038712786269,0.08189595232801963,-10.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.012303396452337424,0.020441005826375456,0.033960924596112996,67360182,0.02256649040575829,0.03728114391861405,0.06159060034987793,,0.04392239264598595,0.022560607266573062,0.05229147753648514,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,6,0.0,0.021695075282995985,0.006149307208288626,0.0015256488576963535,0.03634956632771251,0.022560607266573062,0.026892759875906645,0.017814678707370475,0.0424038712786269,0.08189595232801963,-9.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.004806198448983327,0.0148819632796047,0.04608066716478418,67360182,0.0325770291906734,0.04917554509568466,0.0742312695643236,0.07748241172498566,0.0636117410734969,0.0330888906576405,0.03585701316787553,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,7,0.0,0.018595778813996558,0.003074653604144313,0.01220519086157083,0.03180587053674845,0.0330888906576405,0.017928506583937766,0.05047492300421635,0.0424038712786269,0.08189595232801963,-8.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.01464315869356167,0.021200129374081677,0.030693205945750878,67360182,0.028319841324420388,0.046014065858882236,0.07476363418179871,0.07748241172498566,0.06058261054618753,0.025568688235449482,0.03735105538320368,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,8,0.0,0.02944331645549455,0.0,0.0030512977153927074,0.039378696855021884,0.025568688235449482,0.06573785747443847,0.03859847053263603,0.0424038712786269,0.08189595232801963,-7.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.008067375294066842,0.022638691888456984,0.06352876266924312,67360182,0.02119540746718854,0.03351959575125547,0.053009752280861355,0.026344019986495125,0.06664087160080627,0.030080809688764087,0.02390467544525035,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,9,0.0,0.02789366822099484,0.003074653604144313,0.018307786292356246,0.04392239264598595,0.030080809688764087,0.05826764639779774,0.07719694106527206,0.0424038712786269,0.08189595232801963,-6.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.022379373136731124,0.03303002410566648,0.04874946611575487,67360182,0.023022164966322624,0.03684061072386694,0.05895321315318909,0.034092261158993685,0.07421369791907972,0.02707272871988768,0.026892759875906645,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
AsBSh,10,0.0,0.05423768820748996,0.0,0.018307786292356246,0.03332043580040313,0.02707272871988768,0.043327224244516266,0.09055795009579992,0.0424038712786269,0.08189595232801963,-5.0,15.0,[10.0-21.0],12.0,[9.0-16.0],0.09836838951129852,0.07686320577050192,0.14696016669843798,0.19570952132789426,0.022787724660809226,0.03294489404512149,0.04762941714452585,67360182,0.014240482406788336,0.03629973657578114,0.09252993247215968,0.017046130579496846,0.1302526126743032,0.04361717404870793,0.017928506583937766,4,0.10854702557385157,17.91 vez(es) maior,1.32 vez(es) menor,5.88 vez(es) menor,2.03 vez(es) menor,1.41 vez(es) maior,1.41 vez(es) maior,1.35 vez(es) maior
