UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
35,34,1554.0,52.0,17.0,126.0,216.0,59.0,54.0,81.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,44.851160097630675,67.59349691915848,101.86761760041178,18.0,16.0,13.0,28.61778785838632,48.593835375147854,82.51374453371606,91.0,25.0,57.0,43.0,4
35,35,1768.0,41.0,12.0,98.0,191.0,80.0,43.0,108.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,39.65187484558456,60.97363599436013,93.76061789892192,19.0,16.0,13.0,32.8734018631142,47.495373431104795,68.62114565305272,69.0,31.0,61.0,39.0,4
35,36,1242.0,32.0,12.0,83.0,175.0,61.0,39.0,91.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,32.8641193053169,50.1366864819752,76.48728718512164,20.0,16.0,13.0,22.132131613055527,39.42543369503329,70.23113946803757,65.0,18.0,59.0,35.0,4
35,37,1050.0,43.0,10.0,83.0,143.0,63.0,35.0,68.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,36.28363754846566,52.96497668451114,77.31553241991409,21.0,16.0,13.0,25.52819732237004,42.97229958079901,72.33642501046363,55.0,25.0,80.0,31.0,4
35,38,762.0,31.0,10.0,76.0,103.0,59.0,31.0,78.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,29.127930616757173,45.56141965857865,71.2664070996823,22.0,16.0,13.0,13.704593985003628,28.636972884196382,59.83951198171755,49.0,15.0,61.0,15.0,4
35,39,677.0,30.0,8.0,44.0,96.0,57.0,15.0,61.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,18.449832755756,32.59380113729521,57.580786050546294,23.0,16.0,13.0,16.06983106179095,29.84886169178063,55.44268268093132,36.0,14.0,63.0,25.0,4
35,40,509.0,29.0,7.0,42.0,98.0,61.0,25.0,51.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,24.954990923822884,36.91724493647248,54.61364333330405,24.0,16.0,13.0,24.949392873801802,38.45795804222818,59.28058226742773,52.0,23.0,59.0,31.0,4
35,41,412.0,17.0,9.0,41.0,99.0,56.0,31.0,49.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,20.183577639937692,33.16619308317361,54.49957303177836,25.0,16.0,13.0,14.508157796781363,29.127442743143536,58.477990978518584,41.0,11.0,57.0,28.0,4
35,42,391.0,32.0,14.0,25.0,85.0,66.0,28.0,2.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,22.71916736508476,34.86968213628642,53.518454824812906,26.0,16.0,13.0,16.209911622748518,30.25061973805027,56.453114355780436,32.0,13.0,61.0,33.0,4
35,43,330.0,21.0,23.0,31.0,74.0,68.0,33.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,21.51003792782105,34.765698563171085,56.190221544054324,27.0,16.0,13.0,17.450601853394264,30.44957074621436,53.13148316706171,43.0,17.0,56.0,21.0,4
35,44,270.0,28.0,11.0,18.0,76.0,44.0,21.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,17.775629726295243,26.12315497770934,38.390720131840226,28.0,16.0,13.0,12.973333961668652,27.754020633003034,59.37453422328172,31.0,10.0,66.0,29.0,4
35,45,213.0,21.0,17.0,25.0,73.0,32.0,29.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,22.068441176804697,26.41963539991811,31.62874663744916,29.0,16.0,13.0,19.669991951408225,36.583097095083346,68.03881752338401,30.0,,68.0,24.0,4
35,46,133.0,15.0,9.0,15.0,37.0,39.0,24.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,13.692042850017828,21.422225753253336,33.516675433334115,30.0,16.0,13.0,28.01367918008107,35.479125465086256,44.93406009526839,29.0,,44.0,35.0,4
35,47,164.0,16.0,8.0,14.0,60.0,29.0,35.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,14.101352102144567,21.836272993483547,33.81397860233719,31.0,16.0,13.0,15.279654720181599,22.15863302701786,32.13456237185254,17.0,,32.0,20.0,4
35,48,126.0,20.0,16.0,23.0,51.0,27.0,20.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,19.408290039738166,22.32481650036757,25.679615811316886,32.0,16.0,13.0,22.63971360275428,30.61828118607104,41.40861316705265,32.0,,39.0,23.0,4
35,49,76.0,18.0,16.0,11.0,38.0,30.0,23.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,12.655424773894831,19.225541031405967,29.20656039240316,33.0,16.0,13.0,20.64373952912862,24.784819881123706,29.756590160081053,21.0,,29.0,25.0,4
35,50,80.0,14.0,16.0,13.0,54.0,31.0,25.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,12.735016732935971,19.37953144852265,29.490832013826026,34.0,16.0,13.0,20.064746578653136,24.727711798851338,30.474331106557965,28.0,,27.0,20.0,4
35,51,81.0,16.0,12.0,17.0,41.0,24.0,20.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,15.907263930525522,19.008705197891807,22.71483486276837,35.0,16.0,13.0,20.48536967254317,25.066489674822922,30.672080351088916,21.0,,30.0,25.0,4
35,52,63.0,7.0,5.0,10.0,31.0,13.0,25.0,,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,7.252432985405746,12.281328563717507,20.79730093246013,36.0,16.0,13.0,10.586858967221387,21.56385865284782,43.92237597947743,15.0,,31.0,,4
