"Sigla","Ano","Total","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+"
"PE",2005,8572129,850489,838386,832135,847622,853216,756070,659495,585745,521146,429198,354350,295022,227550,189437,131946,98379,59514,28910,13519
"PE",2006,8658333,838639,845110,827948,838111,852324,773860,674204,596323,533193,444013,364113,303596,234425,192913,136350,98799,61002,29618,13792
"PE",2007,8742825,826245,849819,825731,829442,845869,792528,689378,607406,543525,460043,374652,311342,243496,194789,142503,98689,62768,30412,14188
"PE",2008,8825549,813301,851862,825826,821907,835664,809764,705144,619243,552821,476433,386111,318773,253871,196192,149389,98738,64556,31298,14656
"PE",2009,8906488,799967,850568,828381,815548,824743,822092,721746,632097,562202,491878,398676,326737,264116,198827,155527,99887,66046,32291,15159
"PE",2010,8985658,786467,846027,832667,810583,815138,827456,739090,646111,572408,505609,412393,335760,273400,203649,160157,102568,67129,33382,15664
"PE",2011,9062506,772862,835788,840350,807282,806366,826909,756958,660963,583202,517758,427177,345632,281962,210388,163576,106570,67914,34609,16240
"PE",2012,9136697,759210,824683,845813,805805,798400,820879,775680,676233,594458,528231,443126,356218,289781,219127,165713,111976,68375,36051,16938
"PE",2013,9208550,745749,812700,848414,806489,791519,811178,793005,692077,606447,537700,459429,367673,297326,229061,167526,117986,68990,37542,17739
"PE",2014,9278152,732712,799984,847475,809462,785740,800788,805504,708742,619423,547252,474817,380179,305366,238909,170450,123430,70421,38865,18633
"PE",2015,9345603,720322,786731,843079,813987,781257,791715,811135,726135,633514,557601,488546,393780,314381,247912,175290,127709,72965,39947,19597
"PE",2016,9410772,708688,773180,832891,821800,778341,783457,810939,744046,648421,568520,500753,408410,324184,256290,181791,131058,76464,40865,20674
"PE",2017,9473707,697854,759569,821841,827400,777197,775956,805334,762805,663744,579892,511351,424170,334659,264023,190016,133404,80970,41605,21917
"PE",2018,9534634,687786,746139,809919,830163,778170,769502,796080,780197,679627,591969,520971,440276,345948,271523,199271,135509,85902,42454,23228
"PE",2019,9593588,678410,733128,797265,829433,781399,764106,786119,792830,696317,605001,530661,455503,358239,279478,208454,138526,90404,43824,24491
"PE",2020,9650604,669624,720760,784073,825293,786169,759969,777433,798679,713728,619125,541118,469135,371570,288313,216912,143106,94040,45897,25660
"PE",2021,9705888,661338,709155,770601,815460,794242,757414,769579,798814,731698,634079,552144,481328,385892,297876,224850,149041,97001,48572,26804
"PE",2022,9759391,653458,698358,757085,804825,800171,756625,762503,793635,750551,649477,563630,491999,401303,308057,232250,156388,99241,51889,27946
"PE",2023,9810850,645893,688323,743751,793338,803324,757908,756440,784829,768055,665421,575794,501727,417047,318984,239461,164572,101327,55460,29196
"PE",2024,9860222,638585,678971,730829,781128,803055,761413,751406,775303,780856,682158,588881,511514,431956,330842,247073,172690,104115,58737,30710
"PE",2025,9907481,631493,670204,718546,768373,799440,766433,747605,767015,786945,699603,603029,522031,445346,343674,255451,180214,108086,61441,32552
"PE",2026,9952805,624604,661940,707019,755325,790221,774745,745346,759530,787382,717589,617977,533080,457371,357426,264468,187310,113076,63709,34687
"PE",2027,9996161,617924,654086,696296,742215,780225,780963,744825,752793,782569,736434,633337,544563,467944,372188,274021,193983,119122,65528,37145
"PE",2028,10037301,611477,646540,686330,729266,769379,784448,746343,747045,774160,753947,649225,556691,477622,387255,284231,200517,125790,67278,39757
"PE",2029,10076186,605260,639242,677048,716715,757803,784556,750052,742298,765022,766830,665888,569702,487352,401537,295280,207388,132397,69515,42301
"PE",2030,10112795,599258,632162,668344,704785,745669,781360,755262,738758,757087,773099,683245,583733,497764,414396,307211,214900,138548,72548,44666
"AL",2000,2897881,357734,340084,335379,332216,281385,230467,203469,175451,144686,122250,98061,77914,62485,47832,35621,24337,15803,8368,4339
"AL",2001,2937414,358742,340450,333020,332012,289740,236974,207121,180221,149246,125629,101580,80347,64073,49074,36262,24606,15612,8420,4285
"AL",2002,2975948,358854,341233,331408,329358,297977,244345,210293,184828,154271,128741,105329,82973,65661,50471,36931,25035,15499,8405,4336
"AL",2003,3013346,357850,342459,330509,325185,305189,252315,213488,189219,159535,131824,109173,85794,67324,51967,37667,25577,15477,8366,4428
"AL",2004,3049431,355610,343990,330114,320983,310077,260461,217465,193327,164688,135238,112904,88808,69167,53489,38529,26161,15573,8326,4521
"AL",2005,3084050,352592,345098,330138,317729,311886,268411,222679,197154,169504,139194,116412,92008,71256,54994,39547,26766,15789,8297,4596
"AL",2006,3117060,347724,346707,330617,315204,311089,276122,228898,200646,174086,143603,119719,95405,73552,56502,40700,27394,16118,8303,4671
"AL",2007,3148387,342239,347471,331522,313376,307912,283723,235953,203661,178509,148456,122777,99026,76026,58017,41988,28054,16563,8352,4762
"AL",2008,3177975,336215,347158,332871,312213,303258,290335,243582,206698,182719,153538,125809,102745,78682,59608,43364,28775,17088,8452,4865
"AL",2009,3205791,329796,345648,334533,311506,298570,294689,251376,210499,186654,158509,129165,106363,81520,61363,44766,29600,17646,8619,4969
"AL",2010,3231836,323146,343390,335784,311184,294793,296052,258973,215500,190317,163157,133041,109775,84538,63342,46155,30546,18221,8849,5073
"AL",2011,3256277,316332,339282,337546,311385,291778,294925,266363,221489,193672,167583,137357,113004,87751,65502,47561,31593,18819,9146,5189
"AL",2012,3279289,309421,334497,338468,312142,289574,291570,273704,228319,196594,171874,142103,116007,91196,67816,48989,32738,19441,9508,5328
"AL",2013,3300935,302574,329082,338322,313445,288155,286880,280137,235738,199566,175978,147075,118996,94747,70296,50490,33947,20104,9916,5487
"AL",2014,3321305,295934,323147,336975,315140,287324,282272,284427,243353,203307,179844,151948,122302,98218,72955,52135,35177,20832,10342,5673
"AL",2015,3340502,289640,316796,334875,316477,287030,278682,285858,250822,208243,183477,156522,126110,101511,75793,53970,36403,21634,10776,5883
"AL",2016,3358527,283664,310189,330927,318349,287330,275897,284897,258122,214155,186831,160890,130339,104643,78825,55958,37653,22506,11224,6128
"AL",2017,3375382,277968,303477,326318,319421,288178,273883,281756,265388,220893,189761,165134,134978,107574,82076,58081,38930,23453,11697,6416
"AL",2018,3391142,272540,296820,321091,319471,289583,272614,277310,271780,228206,192738,169210,139834,110501,85433,60356,40265,24451,12202,6737
"AL",2019,3405893,267357,290361,315353,318370,291399,271910,272938,276087,235718,196469,173058,144607,113727,88727,62794,41722,25465,12752,7079
"AL",2020,3419689,262386,284237,309202,316551,292897,271727,269555,277601,243094,201365,176683,149101,117429,91862,65397,43335,26482,13349,7436
"AL",2021,3432603,257679,278423,302794,312947,294961,272126,266947,276779,250315,207212,180039,153407,121528,94859,68179,45077,27520,13991,7820
"AL",2022,3444654,253269,272881,296274,308720,296282,273067,265083,273824,257513,213862,182985,157601,126013,97679,71162,46932,28583,14687,8237
"AL",2023,3455890,249113,267596,289808,303897,296640,274569,263940,269593,263868,221076,185979,161642,130702,100502,74247,48914,29697,15417,8690
"AL",2024,3466324,245182,262545,283533,298575,295901,276495,263345,265426,268190,228488,189703,165466,135315,103601,77281,51037,30905,16159,9177
"AL",2025,3476012,241452,257706,277585,292849,294488,278127,263257,262224,269785,235777,194559,169075,139675,107137,80178,53306,32233,16903,9696
"AL",2026,3485000,237913,253120,271940,286866,291351,280334,263741,259778,269101,242922,200337,172427,143864,111038,82960,55736,33653,17668,10251
"AL",2027,3493288,234559,248822,266560,280762,287620,281830,264761,258051,266333,250051,206894,175386,147956,115296,85596,58343,35160,18454,10854
"AL",2028,3500899,231384,244774,261428,274700,283316,282400,266335,257020,262311,256370,213998,178393,151907,119746,88236,61043,36770,19276,11492
"AL",2029,3507837,228373,240944,256522,268820,278525,281904,268336,256521,258349,260707,221301,182099,155656,124131,91135,63703,38496,20162,12153
"AL",2030,3514114,225504,237313,251819,263250,273331,280760,270055,256521,255326,262384,228488,186897,159200,128286,94422,66256,40343,21130,12829
"SE",2000,1824047,207989,202893,206215,206518,179309,153307,137902,118515,94681,77488,62512,48856,38826,29829,23216,16472,10437,5684,3398
"SE",2001,1856879,210954,202920,205078,207741,184711,157241,140620,122570,98753,80221,64884,50743,40073,30620,23565,16780,10529,5587,3289
"SE",2002,1888967,212810,203345,204160,207568,190370,161643,143034,126382,103230,82970,67315,52818,41316,31576,23889,17124,10666,5547,3204
"SE",2003,1920338,213477,204245,203495,206430,195748,166455,145422,129930,107916,85858,69807,55028,42611,32658,24244,17486,10840,5553,3135
"SE",2004,1950985,212852,205646,203074,205061,200051,171561,148206,133201,112506,89073,72362,57299,44049,33789,24698,17839,11049,5593,3076
"SE",2005,1980891,211015,207392,202916,203950,202799,176833,151646,136208,116810,92715,74987,59580,45676,34937,25288,18169,11293,5658,3019
"SE",2006,2010083,206846,210536,203103,203018,204155,182281,155625,138955,120865,96740,77672,61901,47482,36104,26012,18489,11566,5750,2983
"SE",2007,2038561,202759,212591,203695,202299,204131,187990,160073,141402,124676,101160,80369,64288,49460,37272,26882,18790,11873,5873,2978
"SE",2008,2066358,198764,213474,204754,201834,203154,193430,164929,143825,128227,105784,83199,66735,51570,38494,27857,19119,12193,6021,2995
"SE",2009,2093507,194910,213066,206322,201605,201947,197811,170079,146641,131501,110313,86349,69242,53746,39844,28880,19531,12503,6192,3025
"SE",2010,2120052,191254,211441,208236,201639,200990,200657,175398,150101,134519,114561,89913,71821,55934,41374,29920,20052,12798,6380,3064
"SE",2011,2145945,187809,207463,211528,201998,200202,202117,180893,154094,137279,118570,93852,74451,58172,43060,30982,20682,13085,6588,3120
"SE",2012,2171137,184585,203533,213692,202728,199603,202190,186637,158549,139749,122346,98177,77093,60478,44909,32048,21435,13360,6820,3205
"SE",2013,2195662,181609,199650,214643,203899,199227,201300,192102,163409,142191,125871,102704,79861,62848,46877,33165,22277,13655,7067,3307
"SE",2014,2219574,178904,195865,214268,205541,199060,200160,196505,168558,145019,129132,107142,82935,65276,48912,34395,23157,14015,7304,3426
"SE",2015,2242937,176488,192224,212643,207488,199130,199252,199373,173870,148484,132144,111315,86412,67769,50966,35782,24056,14453,7531,3557
"SE",2016,2265779,174361,188768,208653,210784,199512,198500,200857,179357,152476,134904,115264,90256,70309,53071,37304,24977,14972,7750,3704
"SE",2017,2288116,172499,185531,204703,212952,200261,197933,200962,185090,156925,137384,118990,94473,72862,55247,38972,25902,15587,7967,3876
"SE",2018,2309961,170864,182544,200796,213907,201450,197585,200112,190549,161775,139842,122475,98886,75539,57490,40748,26872,16265,8201,4061
"SE",2019,2331323,169413,179828,196987,213535,203105,197445,199013,194952,166915,142684,125708,103218,78514,59787,42583,27936,16974,8477,4249
"SE",2020,2352207,168102,177397,193323,211916,205063,197539,198139,197837,172222,146147,128698,107300,81873,62145,44445,29130,17694,8802,4435
"SE",2021,2372637,166901,175254,189843,207944,208369,197945,197420,199347,177704,150130,131449,111164,85584,64547,46357,30439,18434,9180,4626
"SE",2022,2392601,165782,173379,186580,204017,210556,198717,196883,199493,183426,154565,133930,114819,89652,66963,48344,31867,19179,9619,4830
"SE",2023,2412078,164719,171733,183566,200131,211541,199923,196566,198694,188873,159396,136398,118244,93906,69499,50395,33388,19959,10099,5048
"SE",2024,2431072,163699,170271,180823,196345,211210,201598,196458,197643,193282,164512,139239,121428,98088,72315,52497,34961,20814,10599,5290
"SE",2025,2449564,162708,168952,178370,192702,209644,203576,196581,196810,196184,169799,142684,124385,102034,75490,54653,36565,21767,11104,5556
"SE",2026,2467561,161735,167739,176211,189242,205742,206891,197013,196129,197725,175259,146640,127111,105777,78998,56848,38220,22810,11622,5849
"SE",2027,2485037,160775,166610,174319,185996,201887,209099,197809,195629,197911,180951,151034,129582,109324,82839,59058,39947,23939,12148,6180
"SE",2028,2501980,159827,165535,172653,183000,198069,210117,199040,195348,197159,186374,155812,132044,112653,86855,61383,41732,25141,12701,6537
"SE",2029,2518373,158888,164505,171177,180271,194344,209833,200736,195268,196157,190766,160876,134864,115752,90805,63960,43566,26390,13303,6912
"SE",2030,2534193,157951,163501,169840,177832,190761,208314,202736,195416,195369,193669,166110,138269,118640,94536,66864,45447,27667,13973,7298
"BA",2000,13519548,1433980,1461758,1517685,1606882,1340857,1090145,969565,855322,731722,591021,482813,386738,321768,245398,193845,131562,84667,46687,27133
"BA",2001,13664222,1419689,1448196,1488517,1595731,1390737,1123650,985438,874385,754042,612809,498347,398088,329383,252506,197108,135420,85388,47195,27593
"BA",2002,13805391,1405424,1435829,1466462,1564615,1442363,1161550,999909,893475,775026,636484,513753,411389,335802,261490,199380,140174,86317,47636,28313
"BA",2003,13942631,1390610,1424501,1450182,1521241,1488437,1203243,1015416,912241,794908,661146,529659,426075,341950,271416,201554,145217,87633,48108,29094
"BA",2004,14075570,1374912,1413852,1436483,1478034,1518136,1247814,1035631,930030,814166,685410,547082,441221,349233,280891,204872,149758,89559,48666,29820
"BA",2005,14203837,1359186,1402359,1423468,1442950,1525186,1293925,1062707,946684,833121,708416,566554,456298,358469,289188,209965,153459,92140,49347,30415
"BA",2006,14327129,1342046,1390985,1411720,1414470,1512305,1340975,1095309,962366,851824,730248,587843,471434,369456,296546,216599,156498,95316,50176,31013
"BA",2007,14445266,1323313,1379642,1401150,1392809,1480004,1389786,1132192,976677,870565,750802,610978,486492,382272,302878,224860,158803,99166,51162,31715
"BA",2008,14558148,1303314,1367756,1391622,1376624,1435779,1433245,1172775,992007,888999,770305,635094,502070,396398,309012,233944,161084,103238,52407,32475
"BA",2009,14665810,1282462,1354986,1382779,1362789,1391759,1460757,1216185,1011970,906485,789221,658862,519129,410980,316207,242664,164318,106950,54049,33258
"BA",2010,14768312,1261213,1342161,1373097,1349507,1355675,1466180,1261127,1038681,922867,807864,681454,538177,425538,325187,250389,168994,110055,56109,34037
"BA",2011,14865405,1239677,1327665,1363432,1337738,1326235,1452267,1306960,1070789,938272,826232,702900,558956,440160,335738,257326,174908,112708,58532,34910
"BA",2012,14957177,1217917,1311098,1353567,1327590,1303937,1419685,1354569,1107071,952308,844615,723073,581460,454702,347895,263395,182125,114874,61361,35935
"BA",2013,15044137,1196281,1292771,1342906,1318809,1287494,1375847,1397093,1147020,967369,862722,742221,604885,469729,361207,269295,189990,117055,64308,37135
"BA",2014,15126371,1175003,1273049,1331068,1310907,1273881,1332676,1424154,1189777,987000,879926,760793,627956,486134,374911,276098,197536,119945,67007,38550
"BA",2015,15203934,1154241,1252326,1318831,1302216,1261385,1297796,1429751,1234058,1013281,896080,779085,649874,504393,388578,284423,204254,123887,69309,40166
"BA",2016,15276566,1134070,1231011,1304754,1293537,1250665,1269632,1416516,1279251,1044879,911312,797133,670697,524279,402318,294095,210348,128731,71339,41999
"BA",2017,15344447,1114626,1209459,1288624,1284744,1241561,1248361,1384930,1326250,1080577,925223,815230,690333,545808,416020,305173,215779,134535,73097,44117
"BA",2018,15408073,1095952,1188026,1270734,1275233,1233861,1232784,1342242,1368294,1119872,940131,833073,709007,568220,430194,317264,221111,140806,74898,46371
"BA",2019,15467527,1078043,1166941,1251448,1264607,1227102,1219951,1300167,1395159,1161941,959508,850043,727141,590309,445664,329708,227203,146831,77182,48579
"BA",2020,15522855,1060893,1146361,1231156,1253619,1219644,1208197,1266211,1400916,1205544,985377,865996,745021,611332,462855,342133,234550,152242,80146,50662
"BA",2021,15574542,1044417,1126419,1210309,1240851,1212327,1198276,1238927,1388260,1250169,1016512,881114,762720,631369,481577,354658,243004,157215,83699,52719
"BA",2022,15622585,1028446,1107235,1189260,1226093,1205005,1190023,1218500,1357654,1296707,1051730,895011,780524,650335,501848,367189,252614,161739,87877,54795
"BA",2023,15666521,1012822,1088805,1168326,1209588,1197021,1183168,1203653,1316108,1338425,1090470,909887,798096,668412,522944,380176,263056,166227,92352,56985
"BA",2024,15706339,997475,1071129,1147725,1191685,1187961,1177266,1191488,1275166,1365255,1131949,929110,814836,685998,543754,394346,273798,171306,96656,59436
"BA",2025,15742074,982413,1054203,1127620,1172764,1178563,1170694,1180370,1242211,1371362,1174972,954646,830604,703354,563597,410072,284542,177328,100558,62201
"BA",2026,15774088,967695,1037936,1108123,1153255,1167410,1164303,1171032,1215789,1359375,1219015,985286,845570,720550,582542,427172,295400,184181,104191,65263
"BA",2027,15802419,953394,1022163,1089357,1133510,1154282,1157932,1163324,1196081,1329733,1264957,1019868,859358,737860,600517,445659,306299,191901,107561,68663
"BA",2028,15826769,939571,1006729,1071335,1113840,1139407,1150914,1157002,1181845,1289338,1306214,1057878,874099,754958,617690,464889,317617,200243,110941,72259
"BA",2029,15847159,926264,991562,1054057,1094463,1123126,1142833,1151626,1170227,1249534,1332906,1098586,893033,771275,634424,483872,329961,208821,114727,75862
"BA",2030,15863601,913449,976674,1037519,1075541,1105798,1134407,1145592,1159629,1217572,1339306,1140838,918060,786673,650957,502006,343638,217420,119142,79380
"MG",2000,18178042,1680973,1732793,1794022,1879066,1701449,1472260,1410441,1356661,1189582,974178,768552,602990,504856,401024,298076,191878,110194,54523,54524
"MG",2001,18402608,1675650,1722396,1774986,1875194,1743454,1503546,1413995,1371626,1224348,1012445,801424,623655,515431,412312,308368,201021,114541,56271,51945
"MG",2002,18620721,1666107,1712354,1760566,1856763,1783954,1543598,1416955,1381295,1257888,1050932,835495,647971,525357,424315,318211,210933,119385,58428,50214
"MG",2003,18832431,1652716,1702491,1749669,1829141,1818944,1589361,1422513,1387080,1288810,1089157,870661,675349,535956,436600,327897,221197,124811,60891,49187
"MG",2004,19037702,1635819,1692533,1739762,1800998,1842900,1635988,1435226,1391140,1315114,1126533,906894,704789,549149,448474,337839,231276,130956,63587,48725
"MG",2005,19236503,1616387,1681576,1729293,1777945,1852653,1679899,1457691,1395209,1335722,1162537,944050,735618,566076,459675,348280,240902,137828,66465,48697
"MG",2006,19428834,1587594,1676519,1718975,1759083,1848740,1721600,1489050,1399160,1350996,1197139,981769,767826,586450,470402,359222,250205,145327,69624,49153
"MG",2007,19614742,1559692,1667253,1709015,1744793,1830407,1761837,1529097,1402507,1361049,1230567,1019715,801219,610269,480556,370827,259200,153456,73139,50144
"MG",2008,19794278,1532612,1654138,1699237,1733974,1802972,1796646,1574802,1408418,1367266,1261439,1057423,835692,636997,491350,382695,268109,161882,77056,51570
"MG",2009,19967560,1506462,1637498,1689368,1724117,1775040,1820525,1621377,1421398,1371765,1287779,1094327,871212,665705,504546,394203,277253,170195,81451,53339
"MG",2010,20134742,1481367,1618298,1678501,1713692,1752162,1830341,1665264,1444030,1376255,1308520,1129912,907641,695763,521191,405102,286826,178187,86318,55372
"MG",2011,20294485,1457308,1589618,1673456,1703388,1733352,1826415,1706752,1475279,1380471,1323928,1164108,944589,727104,540990,415570,296829,185960,91639,57729
"MG",2012,20446840,1434298,1561674,1664125,1693446,1719045,1808028,1746579,1514928,1383924,1334108,1197128,981731,759536,563909,425515,307410,193541,97449,60466
"MG",2013,20593356,1412425,1534496,1650927,1683747,1708262,1780662,1781025,1560176,1389881,1340510,1227687,1018675,792992,589485,436021,318215,201087,103504,63579
"MG",2014,20734097,1391618,1508196,1634183,1674008,1698506,1752862,1804627,1606276,1402799,1345207,1253833,1054887,827452,616870,448654,328700,208824,109513,67082
"MG",2015,20869101,1371765,1482883,1614865,1663307,1688279,1730147,1814263,1649707,1425225,1349863,1274515,1089877,862791,645493,464333,338639,216892,115317,70940
"MG",2016,20997560,1352750,1458618,1586104,1658463,1678235,1711501,1810307,1690847,1456236,1354281,1290044,1123594,898664,675335,482822,348228,225318,121010,75203
"MG",2017,21119536,1334539,1435441,1558130,1649375,1668564,1697305,1792038,1730438,1495614,1357990,1300518,1156229,934765,706237,504113,357424,234231,126643,79942
"MG",2018,21235870,1317056,1413397,1530920,1636431,1659162,1686611,1764833,1764672,1540497,1364137,1307281,1186481,970693,738125,527790,367133,243336,132303,85012
"MG",2019,21346492,1300177,1392417,1504575,1619959,1649741,1676956,1737175,1788119,1586207,1377110,1312345,1212445,1005947,770971,553111,378669,252190,138123,90255
"MG",2020,21451356,1283828,1372386,1479204,1600911,1639376,1666862,1714549,1797680,1629271,1399419,1317334,1233102,1040049,804658,579574,392806,260613,144174,95560
"MG",2021,21551426,1267935,1353318,1454978,1572554,1634974,1657175,1696225,1793976,1670260,1430309,1322176,1248816,1073006,838890,607181,409346,268789,150492,101026
"MG",2022,21646641,1252352,1335182,1431950,1545074,1626454,1648037,1682575,1776318,1709926,1469571,1326424,1259700,1104988,873389,635799,428278,276707,157186,106731
"MG",2023,21735850,1236919,1317778,1410059,1518347,1614096,1639136,1672396,1749789,1744282,1514239,1333043,1266981,1134696,907747,665343,449246,285078,164030,112645
"MG",2024,21818937,1221585,1300988,1389234,1492475,1598227,1630184,1663234,1722804,1767946,1559727,1346337,1272606,1160290,941499,695782,471643,294920,170700,118756
"MG",2025,21895816,1206350,1284725,1369359,1467555,1579797,1620274,1653611,1700800,1777854,1602615,1368771,1278139,1180778,974197,727009,495055,306820,177070,125037
"MG",2026,21967474,1191276,1268912,1350432,1443763,1552121,1616341,1644404,1683044,1774604,1643459,1399580,1283488,1196515,1005831,758752,519479,320616,183291,131566
"MG",2027,22033876,1176395,1253404,1332431,1421145,1525323,1608365,1635740,1669902,1757528,1682984,1438556,1288223,1207615,1036569,790748,544808,336290,189387,138463
"MG",2028,22093910,1161713,1238039,1315165,1399643,1499253,1596554,1627298,1660190,1731666,1717280,1482825,1295259,1215254,1065181,822637,570968,353572,195848,145565
"MG",2029,22147479,1147253,1222773,1298511,1379194,1473999,1581230,1618795,1651489,1705352,1741028,1527902,1308786,1221282,1089906,854000,597936,372008,203372,152663
"MG",2030,22194468,1132998,1207603,1282396,1359679,1449657,1563327,1609324,1642336,1683973,1751192,1570448,1331200,1227200,1109793,884431,625610,391284,212350,159667
"ES",2000,3194255,307461,306624,320507,335606,309110,271055,255881,241681,212987,172157,123636,93217,77505,62595,46911,28671,16073,8191,4387
"ES",2001,3244851,307133,305987,317839,336108,316869,277433,258116,245095,219286,180604,131656,96904,79069,64158,48653,30374,16712,8316,4539
"ES",2002,3295622,306108,306060,315650,334544,324404,285223,260307,247999,225219,188524,140577,101238,80680,65821,50231,32311,17457,8541,4728
"ES",2003,3346440,304127,306949,313951,331605,331142,293953,262930,250537,230689,195958,150002,106331,82524,67542,51715,34344,18341,8850,4950
"ES",2004,3397224,300950,308727,312621,328424,336301,302881,266663,252921,235562,203034,159330,112343,84879,69239,53206,36296,19412,9235,5200
"ES",2005,3447900,296416,311379,311626,325761,339427,311466,271898,255332,239775,209820,168179,119325,87919,70891,54765,38080,20679,9688,5474
"ES",2006,3498381,293972,311276,311183,323495,340578,319765,278537,257758,243404,216241,176572,127195,91599,72559,56387,39735,22120,10209,5796
"ES",2007,3548614,291383,310461,311462,321697,339635,327834,286592,260133,246514,222292,184453,135922,95895,74253,58094,41266,23742,10800,6186
"ES",2008,3598524,288702,308675,312562,320379,337283,335098,295594,262934,249248,227870,191857,145134,100905,76161,59842,42722,25438,11482,6638
"ES",2009,3648075,285976,305678,314560,319426,334648,340762,304807,266838,251811,232847,198901,154254,106786,78532,61557,44179,27077,12290,7146
"ES",2010,3697243,283247,301314,317440,318809,332495,344358,313686,272236,254390,237160,205651,162910,113589,81537,63222,45680,28590,13226,7703
"ES",2011,3745577,280533,298986,317519,318681,330654,345894,322237,278999,256949,240875,212039,171128,121230,85135,64892,47228,30007,14283,8308
"ES",2012,3792874,277844,296445,316808,319167,329159,345214,330505,287132,259427,244057,218073,178856,129682,89301,66584,48851,31343,15470,8956
"ES",2013,3839366,275219,293772,315066,320397,328037,343035,337929,296199,262323,246863,223657,186146,138596,94133,68472,50509,32630,16722,9661
"ES",2014,3885049,272680,291012,312043,322464,327178,340477,343700,305473,266310,249496,228660,193109,147437,99787,70775,52138,33926,17939,10445
"ES",2015,3929911,270237,288204,307596,325349,326557,338302,347339,314413,271771,252137,233021,199805,155854,106305,73651,53717,35257,19085,11311
"ES",2016,3973697,267843,285385,305158,325408,326385,336380,348867,323029,278592,254764,236797,206169,163874,113612,77065,55299,36628,20178,12264
"ES",2017,4016356,265458,282587,302515,324669,326847,334799,348164,331356,286776,257322,240053,212186,171439,121681,80996,56902,38062,21226,13318
"ES",2018,4058079,263084,279857,299730,322881,328071,333596,345949,338822,295892,260291,242933,217763,178590,130192,85537,58674,39524,22252,14441
"ES",2019,4098852,260718,277213,296849,319798,330141,332672,343346,344621,305212,264336,245637,222768,185430,138640,90829,60808,40957,23287,15590
"ES",2020,4138657,258364,274665,293917,315281,333024,332003,341117,348273,314202,269837,248342,227144,192008,146703,96913,63437,42345,24345,16737
"ES",2021,4177644,256048,272198,290992,312770,333106,331840,339193,349849,322914,276720,251045,230965,198272,154405,103723,66532,43737,25431,17904
"ES",2022,4215796,253793,269765,288112,310060,332400,332355,337653,349243,331369,284991,253709,234290,204216,161700,111234,70079,45149,26572,19106
"ES",2023,4252873,251577,267341,285302,307201,330625,333639,336492,347120,338954,294192,256772,237246,209735,168612,119149,74152,46698,27730,20336
"ES",2024,4288849,249393,264922,282578,304240,327540,335765,335612,344594,344865,303593,260902,240024,214697,175234,127015,78886,48539,28863,21587
"ES",2025,4323701,247230,262516,279954,301216,323007,338694,334993,342440,348617,312673,266470,242799,219049,181605,134539,84311,50779,29959,22850
"ES",2026,4357586,245107,260153,277408,298191,320457,338835,334897,340575,350288,321466,273390,245571,222862,187676,141747,90369,53395,31058,24141
"ES",2027,4390464,243039,257851,274898,295207,317696,338177,335493,339085,349770,329993,281669,248300,226193,193438,148589,97034,56371,32175,25486
"ES",2028,4422131,241020,255593,272394,292291,314775,336432,336856,337980,347732,337642,290868,251419,229166,198794,155090,104050,59773,33399,26857
"ES",2029,4452546,239043,253367,269903,289460,311740,333359,339058,337163,345279,343623,300266,255579,231965,203622,161326,111022,63717,34832,28222
"ES",2030,4481671,237102,251162,267427,286724,308635,328822,342054,336614,343191,347446,309347,261143,234757,207865,167332,117706,68221,36555,29568
"RJ",2000,14802363,1317637,1268490,1220221,1332836,1323343,1238216,1172659,1164871,1069546,914539,732207,541860,462361,379235,297582,189243,102084,50864,24569
"RJ",2001,14954176,1305699,1282846,1218521,1319484,1333974,1253245,1175991,1166005,1088876,941732,763668,564170,466760,384825,304035,198889,107619,50717,27120
"RJ",2002,15100157,1287095,1295764,1226203,1296941,1343470,1269720,1183424,1162329,1106693,968025,793473,592949,470045,391715,308834,209059,113509,52046,28863
"RJ",2003,15240284,1262990,1305920,1240598,1270637,1349968,1286476,1194300,1156442,1121999,993133,821945,625916,474590,399183,312774,219015,119771,54358,30269
"RJ",2004,15374696,1234999,1311922,1256900,1249006,1350798,1301931,1207281,1152317,1133276,1016713,849887,659541,483873,406070,316958,227810,126500,57318,31596
"RJ",2005,15503631,1205315,1312146,1271725,1237315,1344706,1314917,1221351,1152466,1139822,1038481,877713,691603,499782,411936,322005,235035,133661,60687,32965
"RJ",2006,15627358,1181362,1300049,1285464,1234683,1331101,1325934,1236735,1156526,1141920,1058496,904983,722389,521642,417085,327878,240967,141180,64380,34584
"RJ",2007,15746038,1158575,1281297,1297764,1241470,1308316,1335779,1253540,1164602,1139264,1077059,931413,751664,549519,421229,334861,245629,149127,68332,36598
"RJ",2008,15859866,1137134,1257050,1307304,1255007,1281795,1342592,1270610,1176058,1134413,1093180,956734,779723,581324,426521,342329,249636,156944,72548,38964
"RJ",2009,15969092,1117133,1228932,1312695,1270506,1259954,1343714,1286377,1189579,1131268,1105361,980607,807311,613792,436113,349270,253847,163925,77078,41630
"RJ",2010,16074006,1098619,1199124,1312314,1284564,1248049,1337911,1299681,1204161,1132305,1112903,1002747,834822,644863,451727,355301,258733,169758,81893,44531
"RJ",2011,16175495,1081641,1175101,1299737,1297640,1245220,1324683,1311062,1220054,1137169,1116050,1023242,861846,674803,472774,360742,264333,174716,86996,47686
