Sigla,Sexo,Ano,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
RO,M,2000,723462,82406,83825,82693,80496,70344,60977,57577,51932,41304,31550,23694,17669,14277,10380,7198,4100,1893,737,410
,,2001,737819,83175,83789,82963,81569,72578,62412,58105,53375,43250,33132,24866,18357,14619,10752,7442,4339,2014,732,350
,,2002,751815,83717,83625,83252,82150,74916,64178,58529,54570,45308,34754,26103,19181,14902,11179,7657,4588,2141,758,307
,,2003,765465,84088,83318,83523,82386,77195,66211,58996,55541,47375,36430,27409,20122,15184,11625,7862,4838,2277,803,282
,,2004,778751,84338,82840,83697,82521,79189,68394,59723,56336,49301,38182,28800,21135,15551,12036,8091,5067,2422,857,271
,,2005,791680,84565,82125,83731,82708,80753,70640,60841,57002,50995,40017,30282,22196,16052,12390,8355,5267,2575,916,270
,,2006,804251,83113,82868,83634,82908,81878,72971,62309,57558,52459,41934,31831,23320,16674,12697,8655,5445,2736,981,280
,,2007,816468,81705,83390,83407,83125,82513,75408,64107,58011,53680,43963,33421,24502,17422,12954,9000,5604,2906,1049,301
,,2008,828323,80329,83746,83038,83323,82797,77786,66173,58509,54680,46001,35062,25752,18273,13210,9359,5755,3075,1124,331
,,2009,839825,78997,83980,82501,83428,82976,79877,68390,59262,55507,47905,36780,27080,19190,13543,9687,5922,3229,1203,368
,,2010,850973,77716,84191,81725,83391,83201,81538,70671,60401,56208,49582,38575,28492,20147,13991,9967,6114,3366,1285,412
,,2011,861781,76491,82729,82413,83230,83423,82750,73038,61882,56796,51036,40450,29970,21161,14546,10212,6333,3490,1371,460
,,2012,872266,75321,81319,82898,82951,83640,83459,75503,63690,57276,52256,42426,31493,22234,15210,10428,6587,3603,1463,509
,,2013,882422,74204,79945,83231,82541,83828,83797,77900,65764,57794,53263,44412,33067,23374,15966,10652,6855,3713,1556,560
,,2014,892253,73127,78619,83455,81985,83917,84009,80000,67985,58562,54096,46267,34715,24592,16782,10946,7105,3837,1641,613
,,2015,901750,72081,77348,83667,81209,83868,84235,81665,70269,59706,54802,47904,36437,25894,17642,11335,7324,3978,1719,667
,,2016,910942,71076,76136,82216,81902,83701,84444,82879,72635,61189,55397,49331,38229,27266,18555,11813,7522,4137,1791,723
,,2017,919834,70126,74977,80817,82391,83418,84648,83589,75095,62993,55886,50533,40119,28678,19523,12380,7702,4318,1858,783
,,2018,928442,69239,73868,79454,82732,83009,84819,83929,77488,65060,56414,51528,42016,30141,20551,13023,7890,4510,1926,845
,,2019,936767,68413,72802,78143,82962,82454,84893,84141,79587,67274,57188,52357,43790,31670,21651,13716,8132,4688,2002,904
,,2020,944802,67655,71767,76883,83181,81683,84832,84366,81252,69550,58329,53065,45356,33270,22826,14447,8445,4845,2089,961
,,2021,952570,66959,70769,75682,81751,82374,84656,84571,82468,71905,59803,53664,46727,34936,24065,15225,8825,4990,2183,1017
,,2022,960081,66316,69826,74537,80371,82869,84365,84773,83186,74354,61589,54164,47887,36695,25341,16047,9272,5125,2291,1073
,,2023,967329,65720,68948,73437,79025,83220,83955,84943,83533,76734,63631,54702,48852,38461,26663,16924,9777,5270,2403,1131
,,2024,974312,65158,68132,72380,77725,83460,83409,85014,83755,78820,65817,55478,49663,40117,28046,17862,10325,5452,2508,1191
,,2025,981014,64625,67380,71353,76478,83683,82656,84955,83986,80478,68067,56610,50360,41583,29496,18866,10899,5684,2601,1254
,,2026,987437,64107,66689,70367,75289,82274,83349,84781,84195,81693,70394,58061,50955,42871,31007,19924,11511,5961,2689,1320
,,2027,993581,63593,66052,69433,74152,80904,83849,84497,84401,82415,72811,59818,51458,43966,32604,21015,12161,6283,2776,1393
,,2028,999445,63082,65462,68563,73063,79563,84205,84098,84575,82770,75162,61821,52000,44887,34210,22145,12856,6645,2868,1470
,,2029,1005010,62570,64908,67754,72013,78261,84448,83566,84654,82999,77222,63966,52770,45667,35716,23330,13601,7037,2983,1545
,,2030,1010274,62059,64381,67009,70996,77008,84666,82836,84604,83237,78864,66174,53882,46339,37055,24575,14397,7448,3128,1616
,F,2000,678073,78167,80891,79513,77247,68113,60934,53993,46473,37111,28429,20191,15628,11717,8363,5350,3221,1535,706,491
,,2001,693229,78909,80808,79863,78204,70121,62326,55353,48094,38882,30024,21433,16257,12261,8807,5676,3390,1651,666,504
,,2002,707996,79479,80511,80253,78722,72294,63729,56716,49604,40730,31584,22872,16874,12842,9245,6035,3560,1777,673,496
,,2003,722385,79960,79968,80629,78941,74450,65211,58090,51026,42607,33142,24441,17542,13444,9686,6413,3739,1906,709,481
,,2004,736400,80427,79149,80884,79107,76311,66880,59470,52404,44441,34750,26041,18353,14046,10138,6796,3941,2031,763,468
,,2005,750035,80991,77987,80951,79365,77702,68786,60864,53767,46184,36441,27604,19361,14640,10608,7174,4174,2149,827,460
,,2006,763295,79545,78649,80818,79673,78659,70876,62287,55119,47831,38206,29140,20554,15230,11101,7549,4435,2266,898,459
,,2007,776172,78142,79146,80471,80022,79171,73132,63722,56476,49365,40045,30641,21935,15809,11624,7922,4718,2385,975,471
,,2008,788669,76772,79555,79884,80354,79384,75367,65240,57840,50810,41908,32138,23441,16435,12168,8294,5021,2510,1056,492
,,2009,800782,75448,79947,79017,80567,79534,77307,66947,59214,52209,43724,33679,24974,17196,12708,8676,5325,2653,1136,521
,,2010,812517,74176,80435,77811,80591,79772,78773,68893,60600,53593,45445,35298,26469,18141,13239,9070,5624,2818,1212,557
,,2011,823916,72967,78928,78423,80427,80056,79794,71024,62013,54961,47072,36987,27940,19263,13766,9487,5920,3002,1287,599
,,2012,835006,71823,77484,78877,80059,80375,80351,73319,63439,56328,48594,38754,29378,20563,14289,9937,6217,3204,1366,649
,,2013,845792,70739,76091,79252,79464,80676,80588,75590,64951,57699,50031,40552,30816,21985,14859,10410,6517,3421,1446,705
,,2014,856278,69699,74764,79625,78599,80868,80748,77555,66652,59078,51424,42309,32304,23436,15558,10887,6829,3643,1538,762
,,2015,866454,68690,73503,80111,77400,80881,80984,79032,68597,60468,52799,43987,33871,24854,16433,11359,7158,3866,1642,819
,,2016,876337,67722,72311,78615,78018,80713,81254,80053,70730,61886,54157,45577,35510,26250,17471,11832,7510,4088,1762,878
,,2017,885954,66809,71185,77180,78479,80345,81560,80613,73025,63318,55517,47067,37223,27619,18672,12305,7888,4313,1893,943
,,2018,895299,65958,70116,75795,78858,79747,81849,80852,75295,64836,56881,48476,38966,28991,19986,12818,8287,4542,2033,1013
,,2019,904375,65167,69090,74475,79234,78880,82025,81011,77261,66544,58252,49843,40672,30411,21328,13446,8689,4780,2179,1088
,,2020,913190,64440,68097,73221,79720,77677,82026,81246,78742,68494,59636,51194,42301,31907,22644,14229,9087,5030,2328,1171
,,2021,921748,63773,67142,72036,78230,78288,81844,81516,79769,70630,61048,52530,43848,33473,23941,15156,9486,5301,2474,1263
,,2022,930074,63158,66243,70916,76804,78748,81463,81819,80336,72929,62474,53868,45300,35110,25214,16227,9887,5591,2622,1365
,,2023,938154,62585,65402,69853,75428,79134,80853,82106,80582,75202,63987,55211,46674,36775,26493,17397,10326,5895,2777,1474
,,2024,945984,62045,64626,68832,74117,79517,79980,82282,80748,77171,65691,56560,48011,38404,27818,18593,10860,6203,2939,1587
,,2025,953555,61536,63909,67845,72873,80013,78779,82280,80989,78655,67633,57922,49331,39964,29213,19768,11521,6510,3108,1706
,,2026,960858,61041,63250,66897,71696,78537,79389,82097,81264,79688,69758,59312,50640,41447,30673,20929,12301,6818,3292,1829
,,2027,967902,60549,62646,66002,70583,77118,79850,81715,81570,80260,72042,60717,51951,42841,32203,22070,13204,7132,3490,1959
,,2028,974669,60059,62082,65167,69529,75742,80237,81108,81863,80512,74297,62207,53266,44165,33761,23220,14185,7475,3698,2096
,,2029,981153,59572,61550,64395,68516,74426,80617,80242,82042,80684,76250,63885,54588,45453,35287,24415,15190,7892,3908,2241
,,2030,987343,59081,61050,63683,67535,73176,81104,79051,82046,80928,77722,65796,55924,46725,36750,25674,16181,8406,4119,2392
,Total,2000,1401535,160573,164716,162206,157743,138457,121911,111570,98405,78415,59979,43885,33297,25994,18743,12548,7321,3428,1443,901
,,2001,1431048,162084,164597,162826,159773,142699,124738,113458,101469,82132,63156,46299,34614,26880,19559,13118,7729,3665,1398,854
,,2002,1459811,163196,164136,163505,160872,147210,127907,115245,104174,86038,66338,48975,36055,27744,20424,13692,8148,3918,1431,803
,,2003,1487850,164048,163286,164152,161327,151645,131422,117086,106567,89982,69572,51850,37664,28628,21311,14275,8577,4183,1512,763
,,2004,1515151,164765,161989,164581,161628,155500,135274,119193,108740,93742,72932,54841,39488,29597,22174,14887,9008,4453,1620,739
,,2005,1541715,165556,160112,164682,162073,158455,139426,121705,110769,97179,76458,57886,41557,30692,22998,15529,9441,4724,1743,730
,,2006,1567546,162658,161517,164452,162581,160537,143847,124596,112677,100290,80140,60971,43874,31904,23798,16204,9880,5002,1879,739
,,2007,1592640,159847,162536,163878,163147,161684,148540,127829,114487,103045,84008,64062,46437,33231,24578,16922,10322,5291,2024,772
,,2008,1616992,157101,163301,162922,163677,162181,153153,131413,116349,105490,87909,67200,49193,34708,25378,17653,10776,5585,2180,823
,,2009,1640607,154445,163927,161518,163995,162510,157184,135337,118476,107716,91629,70459,52054,36386,26251,18363,11247,5882,2339,889
,,2010,1663490,151892,164626,159536,163982,162973,160311,139564,121001,109801,95027,73873,54961,38288,27230,19037,11738,6184,2497,969
,,2011,1685697,149458,161657,160836,163657,163479,162544,144062,123895,111757,98108,77437,57910,40424,28312,19699,12253,6492,2658,1059
,,2012,1707272,147144,158803,161775,163010,164015,163810,148822,127129,113604,100850,81180,60871,42797,29499,20365,12804,6807,2829,1158
,,2013,1728214,144943,156036,162483,162005,164504,164385,153490,130715,115493,103294,84964,63883,45359,30825,21062,13372,7134,3002,1265
,,2014,1748531,142826,153383,163080,160584,164785,164757,157555,134637,117640,105520,88576,67019,48028,32340,21833,13934,7480,3179,1375
,,2015,1768204,140771,150851,163778,158609,164749,165219,160697,138866,120174,107601,91891,70308,50748,34075,22694,14482,7844,3361,1486
,,2016,1787279,138798,148447,160831,159920,164414,165698,162932,143365,123075,109554,94908,73739,53516,36026,23645,15032,8225,3553,1601
,,2017,1805788,136935,146162,157997,160870,163763,166208,164202,148120,126311,111403,97600,77342,56297,38195,24685,15590,8631,3751,1726
,,2018,1823741,135197,143984,155249,161590,162756,166668,164781,152783,129896,113295,100004,80982,59132,40537,25841,16177,9052,3959,1858
,,2019,1841142,133580,141892,152618,162196,161334,166918,165152,156848,133818,115440,102200,84462,62081,42979,27162,16821,9468,4181,1992
,,2020,1857992,132095,139864,150104,162901,159360,166858,165612,159994,138044,117965,104259,87657,65177,45470,28676,17532,9875,4417,2132
,,2021,1874318,130732,137911,147718,159981,160662,166500,166087,162237,142535,120851,106194,90575,68409,48006,30381,18311,10291,4657,2280
,,2022,1890155,129474,136069,145453,157175,161617,165828,166592,163522,147283,124063,108032,93187,71805,50555,32274,19159,10716,4913,2438
,,2023,1905483,128305,134350,143290,154453,162354,164808,167049,164115,151936,127618,109913,95526,75236,53156,34321,20103,11165,5180,2605
,,2024,1920296,127203,132758,141212,151842,162977,163389,167296,164503,155991,131508,112038,97674,78521,55864,36455,21185,11655,5447,2778
,,2025,1934569,126161,131289,139198,149351,163696,161435,167235,164975,159133,135700,114532,99691,81547,58709,38634,22420,12194,5709,2960
,,2026,1948295,125148,129939,137264,146985,160811,162738,166878,165459,161381,140152,117373,101595,84318,61680,40853,23812,12779,5981,3149
,,2027,1961483,124142,128698,135435,144735,158022,163699,166212,165971,162675,144853,120535,103409,86807,64807,43085,25365,13415,6266,3352
,,2028,1974114,123141,127544,133730,142592,155305,164442,165206,166438,163282,149459,124028,105266,89052,67971,45365,27041,14120,6566,3566
,,2029,1986163,122142,126458,132149,140529,152687,165065,163808,166696,163683,153472,127851,107358,91120,71003,47745,28791,14929,6891,3786
,,2030,1997617,121140,125431,130692,138531,150184,165770,161887,166650,164165,156586,131970,109806,93064,73805,50249,30578,15854,7247,4008
AC,M,2000,299614,43233,38826,35655,34965,29687,24423,20560,16556,13942,11091,8225,6269,5008,3860,3062,2014,1145,546,547
,,2001,306721,44000,39558,36017,35308,30761,25273,21236,17171,14359,11580,8648,6494,5114,3930,3067,2059,1142,556,448
,,2002,313929,44660,40327,36547,35370,31895,26184,21871,17878,14744,12068,9113,6747,5225,4023,3063,2112,1152,565,385
,,2003,321192,45189,41122,37203,35287,32989,27150,22501,18640,15132,12544,9602,7031,5353,4130,3063,2165,1173,571,347
,,2004,328479,45576,41919,37912,35272,33888,28162,23186,19395,15575,13001,10095,7354,5506,4238,3085,2207,1206,576,326
,,2005,335759,45856,42662,38621,35466,34501,29203,23966,20106,16102,13438,10575,7720,5693,4340,3135,2233,1246,580,316
,,2006,343018,45912,43445,39359,35832,34850,30281,24819,20783,16713,13850,11050,8123,5908,4442,3208,2250,1293,587,313
,,2007,350243,45877,44123,40133,36364,34921,31421,25730,21420,17413,14231,11524,8563,6148,4553,3297,2262,1346,601,316
,,2008,357418,45765,44671,40933,37020,34851,32519,26694,22053,18169,14614,11990,9027,6418,4674,3399,2278,1400,620,323
,,2009,364528,45594,45078,41733,37730,34849,33426,27704,22742,18916,15050,12437,9494,6723,4821,3499,2310,1444,645,333
,,2010,371547,45369,45375,42482,38438,35050,34051,28743,23521,19621,15569,12863,9948,7067,4996,3595,2362,1477,675,345
,,2011,378497,45104,45450,43272,39175,35421,34414,29821,24371,20295,16169,13268,10399,7446,5197,3692,2432,1504,708,359
,,2012,385373,44815,45434,43956,39952,35954,34500,30959,25280,20932,16858,13645,10854,7859,5420,3792,2515,1526,748,374
,,2013,392157,44503,45341,44508,40755,36611,34447,32055,26242,21566,17600,14024,11304,8295,5670,3905,2604,1548,789,390
,,2014,398845,44169,45183,44919,41559,37323,34458,32964,27249,22255,18336,14458,11738,8736,5954,4040,2693,1580,822,409
,,2015,405421,43815,44967,45220,42312,38035,34671,33595,28286,23033,19037,14971,12156,9170,6274,4198,2779,1624,846,432
,,2016,411880,43433,44708,45300,43105,38776,35050,33967,29362,23881,19706,15564,12554,9602,6624,4379,2865,1681,867,456
,,2017,418217,43014,44425,45284,43791,39557,35588,34070,30497,24787,20341,16240,12925,10039,7007,4579,2957,1748,885,483
,,2018,424426,42562,44123,45195,44346,40364,36250,34029,31593,25744,20974,16971,13301,10470,7409,4802,3058,1820,905,510
,,2019,430498,42082,43798,45043,44760,41170,36966,34053,32504,26749,21661,17695,13729,10887,7817,5052,3176,1890,931,535
,,2020,436422,41585,43452,44832,45066,41928,37682,34274,33141,27781,22430,18386,14231,11290,8216,5337,3311,1959,963,558
,,2021,442206,41076,43075,44578,45152,42724,38425,34660,33521,28852,23271,19047,14809,11675,8616,5648,3465,2029,1003,580
,,2022,447855,40562,42666,44300,45146,43414,39207,35202,33634,29982,24169,19675,15469,12033,9021,5988,3634,2103,1047,603
,,2023,453352,40053,42222,43999,45063,43974,40014,35867,33605,31070,25116,20298,16178,12398,9422,6344,3824,2183,1096,626
,,2024,458706,39553,41749,43675,44914,44394,40823,36586,33639,31977,26108,20976,16880,12811,9808,6706,4035,2277,1143,652
,,2025,463909,39062,41258,43329,44709,44705,41583,37304,33867,32612,27130,21736,17552,13294,10182,7060,4276,2379,1192,679
,,2026,468971,38584,40755,42953,44458,44799,42381,38049,34258,32997,28188,22563,18195,13849,10541,7416,4536,2499,1240,710
,,2027,473890,38123,40250,42543,44180,44800,43074,38831,34803,33116,29305,23446,18805,14479,10877,7776,4820,2629,1289,744
,,2028,478669,37681,39747,42100,43880,44725,43638,39639,35469,33100,30381,24376,19416,15154,11219,8132,5115,2776,1342,779
,,2029,483304,37256,39255,41630,43558,44584,44061,40448,36188,33142,31279,25349,20077,15824,11605,8476,5415,2937,1406,814
,,2030,487803,36851,38768,41144,43216,44384,44376,41209,36906,33378,31910,26353,20817,16465,12055,8810,5711,3124,1475,851
,F,2000,287793,41540,38208,34466,33798,28832,23580,19421,15810,13133,10406,7782,6326,4605,3358,2664,1703,1003,579,579
,,2001,295288,42180,38998,34903,34111,29920,24507,20120,16425,13612,10919,8141,6535,4861,3468,2720,1760,1009,572,527
,,2002,302852,42749,39742,35561,34138,31043,25480,20831,17080,14084,11430,8574,6708,5140,3610,2756,1842,1025,570,489
,,2003,310458,43252,40411,36378,34024,32108,26490,21569,17768,14566,11936,9064,6877,5423,3782,2789,1937,1050,572,462
,,2004,318069,43707,40969,37238,34006,32970,27533,22364,18463,15083,12434,9571,7088,5685,3980,2841,2027,1089,577,444
,,2005,325668,44167,41355,38062,34233,33549,28599,23227,19153,15655,12923,10078,7367,5911,4200,2924,2108,1140,584,433
,,2006,333234,44194,42009,38855,34673,33862,29684,24148,19847,16274,13404,10585,7714,6105,4438,3037,2179,1204,594,428
,,2007,340754,44137,42592,39602,35332,33892,30801,25114,20553,16930,13880,11088,8135,6263,4697,3178,2234,1288,611,427
,,2008,348217,44010,43111,40271,36149,33782,31862,26114,21286,17618,14362,11586,8606,6420,4962,3344,2287,1384,632,431
,,2009,355604,43826,43581,40830,37009,33768,32721,27146,22075,18313,14879,12077,9095,6617,5204,3534,2356,1473,663,437
,,2010,362900,43591,44057,41217,37831,33995,33299,28201,22929,19004,15449,12560,9582,6878,5415,3741,2448,1555,703,445
,,2011,370119,43322,44098,41874,38622,34435,33612,29275,23841,19699,16066,13034,10071,7203,5598,3968,2564,1628,752,457
,,2012,377258,43030,44053,42461,39367,35095,33643,30384,24800,20405,16720,13502,10558,7604,5748,4211,2701,1690,814,472
,,2013,384306,42717,43935,42985,40034,35911,33539,31438,25793,21139,17406,13978,11042,8053,5898,4460,2855,1749,883,491
,,2014,391256,42385,43759,43456,40594,36769,33531,32294,26818,21929,18099,14491,11521,8523,6087,4688,3030,1818,950,514
,,2015,398092,42034,43529,43932,40986,37591,33763,32871,27868,22784,18789,15056,11994,8992,6340,4888,3217,1901,1013,544
,,2016,404807,41656,43262,43973,41646,38383,34207,33183,28940,23698,19484,15665,12459,9466,6652,5062,3422,2002,1066,581
,,2017,411402,41245,42972,43928,42235,39131,34868,33222,30044,24657,20188,16313,12919,9938,7034,5207,3643,2118,1114,626
,,2018,417864,40806,42661,43810,42760,39801,35684,33123,31095,25650,20920,16993,13385,10410,7461,5351,3868,2249,1161,676
,,2019,424193,40343,42331,43635,43231,40365,36541,33120,31951,26675,21709,17677,13888,10874,7911,5533,4072,2395,1216,726
,,2020,430389,39861,41982,43410,43707,40759,37364,33357,32531,27725,22562,18358,14443,11334,8358,5773,4252,2553,1283,777
,,2021,436448,39368,41612,43147,43750,41420,38157,33803,32851,28795,23473,19045,15038,11790,8809,6066,4412,2724,1361,827
,,2022,442365,38871,41208,42861,43708,42010,38905,34462,32896,29898,24428,19741,15672,12235,9262,6423,4548,2910,1448,879
,,2023,448142,38378,40774,42553,43599,42535,39576,35273,32803,30947,25417,20464,16335,12692,9713,6823,4683,3098,1545,934
,,2024,453774,37893,40313,42227,43431,43007,40140,36128,32801,31803,26437,21243,17003,13180,10157,7243,4851,3270,1654,993
,,2025,459262,37419,39832,41882,43209,43485,40534,36948,33035,32384,27483,22086,17668,13718,10596,7662,5070,3421,1771,1059
,,2026,464609,36958,39339,41512,42947,43532,41195,37736,33479,32703,28548,22987,18340,14293,11032,8083,5338,3558,1898,1131
,,2027,469824,36514,38843,41112,42661,43495,41785,38480,34136,32751,29647,23929,19020,14907,11459,8507,5658,3675,2037,1208
,,2028,474904,36087,38351,40681,42355,43387,42310,39151,34942,32662,30691,24904,19727,15549,11897,8928,6019,3793,2176,1294
,,2029,479850,35679,37867,40222,42033,43224,42782,39715,35793,32663,31544,25910,20489,16196,12363,9343,6398,3938,2302,1389
,,2030,484661,35289,37395,39742,41696,43006,43261,40109,36610,32899,32123,26940,21311,16842,12878,9756,6773,4125,2414,1492
,Total,2000,587407,84773,77034,70121,68763,58519,48003,39981,32366,27075,21497,16007,12595,9613,7218,5726,3717,2148,1125,1126
,,2001,602009,86180,78556,70920,69419,60681,49780,41356,33596,27971,22499,16789,13029,9975,7398,5787,3819,2151,1128,975
,,2002,616781,87409,80069,72108,69508,62938,51664,42702,34958,28828,23498,17687,13455,10365,7633,5819,3954,2177,1135,874
,,2003,631650,88441,81533,73581,69311,65097,53640,44070,36408,29698,24480,18666,13908,10776,7912,5852,4102,2223,1143,809
,,2004,646548,89283,82888,75150,69278,66858,55695,45550,37858,30658,25435,19666,14442,11191,8218,5926,4234,2295,1153,770
,,2005,661427,90023,84017,76683,69699,68050,57802,47193,39259,31757,26361,20653,15087,11604,8540,6059,4341,2386,1164,749
,,2006,676252,90106,85454,78214,70505,68712,59965,48967,40630,32987,27254,21635,15837,12013,8880,6245,4429,2497,1181,741
,,2007,690997,90014,86715,79735,71696,68813,62222,50844,41973,34343,28111,22612,16698,12411,9250,6475,4496,2634,1212,743
,,2008,705635,89775,87782,81204,73169,68633,64381,52808,43339,35787,28976,23576,17633,12838,9636,6743,4565,2784,1252,754
,,2009,720132,89420,88659,82563,74739,68617,66147,54850,44817,37229,29929,24514,18589,13340,10025,7033,4666,2917,1308,770
,,2010,734447,88960,89432,83699,76269,69045,67350,56944,46450,38625,31018,25423,19530,13945,10411,7336,4810,3032,1378,790
,,2011,748616,88426,89548,85146,77797,69856,68026,59096,48212,39994,32235,26302,20470,14649,10795,7660,4996,3132,1460,816
,,2012,762631,87845,89487,86417,79319,71049,68143,61343,50080,41337,33578,27147,21412,15463,11168,8003,5216,3216,1562,846
,,2013,776463,87220,89276,87493,80789,72522,67986,63493,52035,42705,35006,28002,22346,16348,11568,8365,5459,3297,1672,881
,,2014,790101,86554,88942,88375,82153,74092,67989,65258,54067,44184,36435,28949,23259,17259,12041,8728,5723,3398,1772,923
,,2015,803513,85849,88496,89152,83298,75626,68434,66466,56154,45817,37826,30027,24150,18162,12614,9086,5996,3525,1859,976
,,2016,816687,85089,87970,89273,84751,77159,69257,67150,58302,47579,39190,31229,25013,19068,13276,9441,6287,3683,1933,1037
,,2017,829619,84259,87397,89212,86026,78688,70456,67292,60541,49444,40529,32553,25844,19977,14041,9786,6600,3866,1999,1109
,,2018,842290,83368,86784,89005,87106,80165,71934,67152,62688,51394,41894,33964,26686,20880,14870,10153,6926,4069,2066,1186
,,2019,854691,82425,86129,88678,87991,81535,73507,67173,64455,53424,43370,35372,27617,21761,15728,10585,7248,4285,2147,1261
,,2020,866811,81446,85434,88242,88773,82687,75046,67631,65672,55506,44992,36744,28674,22624,16574,11110,7563,4512,2246,1335
,,2021,878654,80444,84687,87725,88902,84144,76582,68463,66372,57647,46744,38092,29847,23465,17425,11714,7877,4753,2364,1407
,,2022,890220,79433,83874,87161,88854,85424,78112,69664,66530,59880,48597,39416,31141,24268,18283,12411,8182,5013,2495,1482
,,2023,901494,78431,82996,86552,88662,86509,79590,71140,66408,62017,50533,40762,32513,25090,19135,13167,8507,5281,2641,1560
,,2024,912480,77446,82062,85902,88345,87401,80963,72714,66440,63780,52545,42219,33883,25991,19965,13949,8886,5547,2797,1645
,,2025,923171,76481,81090,85211,87918,88190,82117,74252,66902,64996,54613,43822,35220,27012,20778,14722,9346,5800,2963,1738
,,2026,933580,75542,80094,84465,87405,88331,83576,75785,67737,65700,56736,45550,36535,28142,21573,15499,9874,6057,3138,1841
,,2027,943714,74637,79093,83655,86841,88295,84859,77311,68939,65867,58952,47375,37825,29386,22336,16283,10478,6304,3326,1952
,,2028,953573,73768,78098,82781,86235,88112,85948,78790,70411,65762,61072,49280,39143,30703,23116,17060,11134,6569,3518,2073
,,2029,963154,72935,77122,81852,85591,87808,86843,80163,71981,65805,62823,51259,40566,32020,23968,17819,11813,6875,3708,2203
,,2030,972464,72140,76163,80886,84912,87390,87637,81318,73516,66277,64033,53293,42128,33307,24933,18566,12484,7249,3889,2343
AM,M,2000,1457052,206334,193476,173323,169314,147517,123458,101478,87510,69402,53920,38228,28268,22019,16679,11826,7642,3869,1832,957
,,2001,1494092,207651,197374,176353,171392,152638,128125,105002,90238,72602,56651,40584,29402,22591,17115,12076,7744,3964,1701,889
,,2002,1531371,208924,200768,180399,172156,157948,132787,108995,92578,76063,59259,43240,30665,23202,17578,12374,7860,4093,1670,812
,,2003,1568730,210255,203460,185094,172308,163046,137472,113339,94778,79604,61843,46083,32106,23883,18064,12710,8003,4235,1697,750
,,2004,1606028,211813,205230,189796,172975,167320,142254,117824,97225,82948,64570,48935,33795,24676,18565,13076,8185,4377,1755,709
,,2005,1643149,213956,205725,194050,174844,170438,147144,122312,100164,85931,67534,51697,35759,25610,19081,13463,8414,4511,1827,689
,,2006,1679983,214645,207051,197874,177735,172410,152134,126818,103550,88578,70712,54377,37992,26673,19625,13875,8676,4652,1914,692
,,2007,1716423,214860,208333,201189,181636,173070,157298,131316,107393,90848,74145,56945,40505,27854,20204,14310,8978,4802,2021,716
,,2008,1752383,214647,209675,203800,186185,173117,162241,135835,111578,92980,77657,59492,43194,29198,20847,14766,9305,4972,2135,759
,,2009,1787795,214074,211242,205489,190737,173677,166355,140448,115898,95351,80980,62179,45892,30770,21588,15234,9655,5163,2248,815
,,2010,1822607,213196,213391,205904,194841,175427,169318,145161,120216,98205,83952,65093,48506,32594,22453,15711,10018,5384,2356,881
,,2011,1856946,212071,214097,207167,198536,178214,171177,149989,124573,101500,86601,68220,51051,34665,23432,16212,10397,5620,2468,956
,,2012,1890860,210753,214339,208422,201758,182034,171792,155026,128959,105254,88884,71602,53505,36993,24520,16740,10785,5872,2584,1038
,,2013,1924196,209270,214155,209756,204308,186521,171840,159871,133392,109358,91028,75054,55948,39485,25752,17317,11180,6135,2704,1122
,,2014,1956917,207633,213609,211331,205972,191039,172422,163933,137949,113611,93405,78320,58526,41992,27185,17974,11576,6402,2833,1205
,,2015,1988977,205834,212758,213496,206400,195144,174206,166898,142634,117886,96250,81242,61324,44431,28842,18734,11976,6672,2969,1281
,,2016,2020370,203819,211661,214222,207688,198860,177023,168795,147442,122219,99528,83848,64328,46815,30720,19593,12389,6948,3113,1359
,,2017,2051035,201562,210371,214482,208969,202108,180856,169468,152451,126582,103255,86102,67571,49115,32829,20542,12828,7233,3269,1442
,,2018,2080888,199101,208914,214315,210328,204691,185348,169583,157272,130989,107326,88230,70884,51411,35088,21616,13306,7523,3433,1530
,,2019,2109919,196476,207301,213785,211927,206391,189868,170224,161323,135521,111544,90587,74022,53839,37363,22863,13848,7817,3598,1622
,,2020,2138121,193724,205526,212950,214109,206865,193987,172041,164300,140178,115788,93400,76836,56473,39575,24307,14471,8113,3764,1714
,,2021,2165421,190941,203523,211856,214853,208176,197705,174857,166212,144942,120075,96624,79346,59296,41742,25936,15172,8419,3935,1811
,,2022,2191821,188197,201270,210554,215115,209468,200942,178657,166904,149890,124379,100271,81522,62337,43838,27758,15945,8743,4115,1916
,,2023,2217423,185510,198815,209085,214948,210840,203519,183109,167046,154656,128729,104252,83584,65444,45936,29708,16817,9099,4298,2028
,,2024,2242232,182903,196195,207461,214413,212451,205227,187592,167707,158665,133202,108375,85866,68391,48156,31674,17827,9502,4483,2142
,,2025,2266261,180394,193450,205674,213570,214630,205731,191680,169524,161620,137798,112524,88586,71040,50568,33590,18996,9960,4669,2257
,,2026,2289484,177996,190675,203662,212467,215388,207066,195380,172328,163535,142505,116720,91699,73411,53152,35475,20313,10473,4862,2377
,,2027,2311908,175718,187938,201405,211156,215664,208390,198609,176103,164253,147396,120940,95214,75482,55934,37308,21785,11038,5070,2505
,,2028,2333588,173567,185256,198946,209679,215506,209790,201190,180519,164430,152106,125207,99046,77449,58777,39149,23359,11677,5298,2637
