Código,Sigla,UF,Região,Região oficial,Ano,Sexo,Total,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos
11,RO,Rondônia,RegN,N,2020,Total,1857992,132095,139864,313005,326218,325606,256009,191916,173279
11,RO,Rondônia,RegN,N,2021,F,921748,63773,67142,150266,160132,161285,131678,96378,91094
11,RO,Rondônia,RegN,N,2021,M,952570,66959,70769,157433,167030,167039,131708,100391,91241
11,RO,Rondônia,RegN,N,2021,Total,1874318,130732,137911,307699,327162,328324,263386,196769,182335
11,RO,Rondônia,RegN,N,2022,F,930074,63158,66243,147720,160211,162155,135403,99168,96016
11,RO,Rondônia,RegN,N,2022,M,960081,66316,69826,154908,167234,167959,135943,102051,95844
11,RO,Rondônia,RegN,N,2022,Total,1890155,129474,136069,302628,327445,330114,271346,201219,191860
11,RO,Rondônia,RegN,N,2023,F,938154,62585,65402,145281,159987,162688,139189,101885,101137
11,RO,Rondônia,RegN,N,2023,M,967329,65720,68948,152462,167175,168476,140365,103554,100629
11,RO,Rondônia,RegN,N,2023,Total,1905483,128305,134350,297743,327162,331164,279554,205439,201766
11,RO,Rondônia,RegN,N,2024,F,945984,62045,64626,142949,159497,163030,142862,104571,106404
11,RO,Rondônia,RegN,N,2024,M,974312,65158,68132,150105,166869,168769,144637,105141,105501
11,RO,Rondônia,RegN,N,2024,Total,1920296,127203,132758,293054,326366,331799,287499,209712,211905
11,RO,Rondônia,RegN,N,2025,F,953555,61536,63909,140718,158792,163269,146288,107253,111790
11,RO,Rondônia,RegN,N,2025,M,981014,64625,67380,147831,166339,168941,148545,106970,110383
11,RO,Rondônia,RegN,N,2025,Total,1934569,126161,131289,288549,325131,332210,294833,214223,222173
11,RO,Rondônia,RegN,N,2026,F,960858,61041,63250,138593,157926,163361,149446,109952,117289
11,RO,Rondônia,RegN,N,2026,M,987437,64107,66689,145656,165623,168976,152087,109016,115283
11,RO,Rondônia,RegN,N,2026,Total,1948295,125148,129939,284249,323549,332337,301533,218968,232572
11,RO,Rondônia,RegN,N,2027,F,967902,60549,62646,136585,156968,163285,152302,112668,122899
11,RO,Rondônia,RegN,N,2027,M,993581,63593,66052,143585,164753,168898,155226,111276,120198
11,RO,Rondônia,RegN,N,2027,Total,1961483,124142,128698,280170,321721,332183,307528,223944,243097
11,RO,Rondônia,RegN,N,2028,F,974669,60059,62082,134696,155979,162971,154809,115473,128600
11,RO,Rondônia,RegN,N,2028,M,999445,63082,65462,141626,163768,168673,157932,113821,125081
11,RO,Rondônia,RegN,N,2028,Total,1974114,123141,127544,276322,319747,331644,312741,229294,253681
11,RO,Rondônia,RegN,N,2029,F,981153,59572,61550,132911,155043,162284,156934,118473,134386
11,RO,Rondônia,RegN,N,2029,M,1005010,62570,64908,139767,162709,168220,160221,116736,129879
11,RO,Rondônia,RegN,N,2029,Total,1986163,122142,126458,272678,317752,330504,317155,235209,264265
11,RO,Rondônia,RegN,N,2030,F,987343,59081,61050,131218,154280,161097,158650,121720,140247
11,RO,Rondônia,RegN,N,2030,M,1010274,62059,64381,138005,161674,167440,162101,120056,134558
11,RO,Rondônia,RegN,N,2030,Total,1997617,121140,125431,269223,315954,328537,320751,241776,274805
12,AC,Acre,RegN,N,2000,F,287793,41540,38208,68264,52412,35231,23539,14108,14491
12,AC,Acre,RegN,N,2000,M,299614,43233,38826,70620,54110,37116,25033,14494,16182
12,AC,Acre,RegN,N,2000,Total,587407,84773,77034,138884,106522,72347,48572,28602,30673
12,AC,Acre,RegN,N,2001,F,295288,42180,38998,69014,54427,36545,24531,14676,14917
12,AC,Acre,RegN,N,2001,M,306721,44000,39558,71325,56034,38407,25939,15142,16316
12,AC,Acre,RegN,N,2001,Total,602009,86180,78556,140339,110461,74952,50470,29818,31233
12,AC,Acre,RegN,N,2002,F,302852,42749,39742,69699,56523,37911,25514,15282,15432
12,AC,Acre,RegN,N,2002,M,313929,44660,40327,71917,58079,39749,26812,15860,16525
12,AC,Acre,RegN,N,2002,Total,616781,87409,80069,141616,114602,77660,52326,31142,31957
12,AC,Acre,RegN,N,2003,F,310458,43252,40411,70402,58598,39337,26502,15941,16015
12,AC,Acre,RegN,N,2003,M,321192,45189,41122,72490,60139,41141,27676,16633,16802
12,AC,Acre,RegN,N,2003,Total,631650,88441,81533,142892,118737,80478,54178,32574,32817
12,AC,Acre,RegN,N,2004,F,318069,43707,40969,71244,60503,40827,27517,16659,16643
12,AC,Acre,RegN,N,2004,M,328479,45576,41919,73184,62050,42581,28576,17449,17144
12,AC,Acre,RegN,N,2004,Total,646548,89283,82888,144428,122553,83408,56093,34108,33787
12,AC,Acre,RegN,N,2005,F,325668,44167,41355,72295,62148,42380,28578,17445,17300
12,AC,Acre,RegN,N,2005,M,335759,45856,42662,74087,63704,44072,29540,18295,17543
12,AC,Acre,RegN,N,2005,Total,661427,90023,84017,146382,125852,86452,58118,35740,34843
12,AC,Acre,RegN,N,2006,F,333234,44194,42009,73528,63546,43995,29678,18299,17985
12,AC,Acre,RegN,N,2006,M,343018,45912,43445,75191,65131,45602,30563,19173,18001
12,AC,Acre,RegN,N,2006,Total,676252,90106,85454,148719,128677,89597,60241,37472,35986
12,AC,Acre,RegN,N,2007,F,340754,44137,42592,74934,64693,45667,30810,19223,18698
12,AC,Acre,RegN,N,2007,M,350243,45877,44123,76497,66342,47150,31644,20087,18523
12,AC,Acre,RegN,N,2007,Total,690997,90014,86715,151431,131035,92817,62454,39310,37221
12,AC,Acre,RegN,N,2008,F,348217,44010,43111,76420,65644,47400,31980,20192,19460
12,AC,Acre,RegN,N,2008,M,357418,45765,44671,77953,67370,48747,32783,21017,19112
12,AC,Acre,RegN,N,2008,Total,705635,89775,87782,154373,133014,96147,64763,41209,38572
12,AC,Acre,RegN,N,2009,F,355604,43826,43581,77839,66489,49221,33192,21172,20284
12,AC,Acre,RegN,N,2009,M,364528,45594,45078,79463,68275,50446,33966,21931,19775
12,AC,Acre,RegN,N,2009,Total,720132,89420,88659,157302,134764,99667,67158,43103,40059
